
Matthew 
1:1	A roll of the birth of Jesus Christ, son of David, son of Abraham. 
4:5	Then doth the Devil take him to the holy city, and doth set him on the pinnacle of the temple, 
4:6	and saith to him, 'If Son thou art of God -- cast thyself down, for it hath been written, that, His messengers He shall charge concerning thee, and on hands they shall bear thee up, that thou may not dash on a stone thy foot.' 
4:7	Jesus said to him again, 'It hath been written, Thou shalt not tempt the Lord thy God.' 
4:8	Again doth the Devil take him to a very high mount, and doth shew to him all the kingdoms of the world and the glory of them, 
4:9	and saith to him, 'All these to thee I will give, if falling down thou may bow to me.' 
4:10	Then saith Jesus to him, 'Go -- Adversary, for it hath been written, The Lord thy God thou shalt bow to, and Him only thou shalt serve.' 
4:11	Then doth the Devil leave him, and lo, messengers came and were ministering to him. 
4:12	And Jesus having heard that John was delivered up, did withdraw to Galilee, 
4:13	and having left Nazareth, having come, he dwelt at Capernaum that is by the sea, in the borders of Zebulun and Naphtalim, 
4:14	that it might be fulfilled that was spoken through Isaiah the prophet, saying, 
4:15	'Land of Zebulun and land of Naphtali, way of the sea, beyond the Jordan, Galilee of the nations! -- 
4:16	the people that is sitting in darkness saw a great light, and to those sitting in a region and shadow of death -- light arose to them.' 
4:17	From that time began Jesus to proclaim and to say, 'Reform ye, for come nigh hath the reign of the heavens.' 
4:18	And Jesus, walking by the sea of Galilee, saw two brothers, Simon named Peter and Andrew his brother, casting a drag into the sea -- for they were fishers -- 
4:19	and he saith to them, 'Come ye after me, and I will make you fishers of men,' 
4:20	and they, immediately, having left the nets, did follow him. 
4:21	And having advanced thence, he saw other two brothers, James of Zebedee, and John his brother, in the boat with Zebedee their father, refitting their nets, and he called them, 
4:22	and they, immediately, having left the boat and their father, did follow him. 
4:23	And Jesus was going about all Galilee teaching in their synagogues, and proclaiming the good news of the reign, and healing every disease, and every malady among the people, 
4:24	and his fame went forth to all Syria, and they brought to him all having ailments, pressed with manifold sicknesses and pains, and demoniacs, and lunatics, and paralytics, and he healed them. 
4:25	And there followed him many multitudes from Galilee, and Decapolis, and Jerusalem, and Judea, and beyond the Jordan. 
5:1	And having seen the multitudes, he went up to the mount, and he having sat down, his disciples came to him, 
5:2	and having opened his mouth, he was teaching them, saying: 
5:3	'Happy the poor in spirit -- because theirs is the reign of the heavens. 
5:4	'Happy the mourning -- because they shall be comforted. 
5:5	'Happy the meek -- because they shall inherit the land. 
5:6	'Happy those hungering and thirsting for righteousness -- because they shall be filled. 
5:7	'Happy the kind -- because they shall find kindness. 
5:8	'Happy the clean in heart -- because they shall see God. 
5:9	'Happy the peacemakers -- because they shall be called Sons of God. 
5:10	'Happy those persecuted for righteousness' sake -- because theirs is the reign of the heavens. 
5:11	'Happy are ye whenever they may reproach you, and may persecute, and may say any evil thing against you falsely for my sake -- 
5:12	rejoice ye and be glad, because your reward is great in the heavens, for thus did they persecute the prophets who were before you. 
5:13	'Ye are the salt of the land, but if the salt may lose savour, in what shall it be salted? for nothing is it good henceforth, except to be cast without, and to be trodden down by men. 
5:14	'Ye are the light of the world, a city set upon a mount is not able to be hid; 
5:15	nor do they light a lamp, and put it under the measure, but on the lamp-stand, and it shineth to all those in the house; 
5:16	so let your light shine before men, that they may see your good works, and may glorify your Father who is in the heavens. 
5:17	'Do not suppose that I came to throw down the law or the prophets -- I did not come to throw down, but to fulfill; 
5:18	for, verily I say to you, till that the heaven and the earth may pass away, one iota or one tittle may not pass away from the law, till that all may come to pass. 
5:19	'Whoever therefore may loose one of these commands -- the least -- and may teach men so, least he shall be called in the reign of the heavens, but whoever may do and may teach them, he shall be called great in the reign of the heavens. 
5:20	'For I say to you, that if your righteousness may not abound above that of the scribes and Pharisees, ye may not enter to the reign of the heavens. 
5:21	'Ye heard that it was said to the ancients: Thou shalt not kill, and whoever may kill shall be in danger of the judgment; 
5:22	but I -- I say to you, that everyone who is angry at his brother without cause, shall be in danger of the judgment, and whoever may say to his brother, Empty fellow! shall be in danger of the sanhedrim, and whoever may say, Rebel! shall be in danger of the gehenna of the fire. 
5:23	'If, therefore, thou may bring thy gift to the altar, and there may remember that thy brother hath anything against thee, 
5:24	leave there thy gift before the altar, and go -- first be reconciled to thy brother, and then having come bring thy gift. 
5:25	'Be agreeing with thy opponent quickly, while thou art in the way with him, that the opponent may not deliver thee to the judge, and the judge may deliver thee to the officer, and to prison thou may be cast, 
5:26	verily I say to thee, thou may not come forth thence till that thou may pay the last farthing. 
5:27	'Ye heard that it was said to the ancients: Thou shalt not commit adultery; 
5:28	but I -- I say to you, that everyone who is looking on a woman to desire her, did already commit adultery with her in his heart. 
5:29	'But, if thy right eye doth cause thee to stumble, pluck it out and cast from thee, for it is good to thee that one of thy members may perish, and not thy whole body be cast to gehenna. 
5:30	'And, if thy right hand doth cause thee to stumble, cut it off, and cast from thee, for it is good to thee that one of thy members may perish, and not thy whole body be cast to gehenna. 
5:31	'And it was said, That whoever may put away his wife, let him give to her a writing of divorce; 
5:32	but I -- I say to you, that whoever may put away his wife, save for the matter of whoredom, doth make her to commit adultery; and whoever may marry her who hath been put away doth commit adultery. 
5:33	'Again, ye heard that it was said to the ancients: Thou shalt not swear falsely, but thou shalt pay to the Lord thine oaths; 
5:34	but I -- I say to you, not to swear at all; neither by the heaven, because it is the throne of God, 
5:35	nor by the earth, because it is His footstool, nor by Jerusalem, because it is a city of a great king, 
5:36	nor by thy head may thou swear, because thou art not able one hair to make white or black; 
5:37	but let your word be, Yes, Yes, No, No, and that which is more than these is of the evil. 
5:38	'Ye heard that it was said: Eye for eye, and tooth for tooth; 
5:39	but I -- I say to you, not to resist the evil, but whoever shall slap thee on thy right cheek, turn to him also the other; 
5:40	and whoever is willing to take thee to law, and thy coat to take -- suffer to him also the cloak. 
5:41	'And whoever shall impress thee one mile, go with him two, 
5:42	to him who is asking of thee be giving, and him who is willing to borrow from thee thou may not turn away. 
5:43	'Ye heard that it was said: Thou shalt love thy neighbor, and shalt hate thine enemy; 
5:44	but I -- I say to you, Love your enemies, bless those cursing you, do good to those hating you, and pray for those accusing you falsely, and persecuting you, 
5:45	that ye may be sons of your Father in the heavens, because His sun He doth cause to rise on evil and good, and He doth send rain on righteous and unrighteous. 
5:46	'For, if ye may love those loving you, what reward have ye? do not also the tax-gatherers the same? 
5:47	and if ye may salute your brethren only, what do ye abundant? do not also the tax-gatherers so? 
5:48	ye shall therefore be perfect, as your Father who is in the heavens is perfect. 
6:1	'Take heed your kindness not to do before men, to be seen by them, and if not -- reward ye have not from your Father who is in the heavens; 
6:2	whenever, therefore, thou may do kindness, thou may not sound a trumpet before thee as the hypocrites do, in the synagogues, and in the streets, that they may have glory from men; verily I say to you -- they have their reward! 
6:3	'But thou, doing kindness, let not thy left hand know what thy right hand doth, 
6:4	that thy kindness may be in secret, and thy Father who is seeing in secret Himself shall reward thee manifestly. 
6:5	'And when thou may pray, thou shalt not be as the hypocrites, because they love in the synagogues, and in the corners of the broad places -- standing -- to pray, that they may be seen of men; verily I say to you, that they have their reward. 
6:6	'But thou, when thou may pray, go into thy chamber, and having shut thy door, pray to thy Father who is in secret, and thy Father who is seeing in secret, shall reward thee manifestly. 
6:7	'And -- praying -- ye may not use vain repetitions like the nations, for they think that in their much speaking they shall be heard, 
6:8	be ye not therefore like to them, for your Father doth know those things that ye have need of before your asking him; 
6:9	thus therefore pray ye: 'Our Father who art in the heavens! hallowed be Thy name. 
6:10	'Thy reign come: Thy will come to pass, as in heaven also on the earth. 
6:11	'Our appointed bread give us to-day. 
6:12	'And forgive us our debts, as also we forgive our debtors. 
6:13	'And may Thou not lead us to temptation, but deliver us from the evil, because Thine is the reign, and the power, and the glory -- to the ages. Amen. 
6:14	'For, if ye may forgive men their trespasses He also will forgive you -- your Father who is in the heavens; 
6:15	but if ye may not forgive men their trespasses, neither will your Father forgive your trespasses. 
6:16	'And when ye may fast, be ye not as the hypocrites, of sour countenances, for they disfigure their faces, that they may appear to men fasting; verily I say to you, that they have their reward. 
6:17	'But thou, fasting, anoint thy head, and wash thy face, 
6:18	that thou may not appear to men fasting, but to thy Father who is in secret, and thy Father, who is seeing in secret, shall reward thee manifestly. 
6:19	'Treasure not up to yourselves treasures on the earth, where moth and rust disfigure, and where thieves break through and steal, 
6:20	but treasure up to yourselves treasures in heaven, where neither moth nor rust doth disfigure, and where thieves do not break through nor steal, 
6:21	for where your treasure is, there will be also your heart. 
6:22	'The lamp of the body is the eye, if, therefore, thine eye may be perfect, all thy body shall be enlightened, 
6:23	but if thine eye may be evil, all thy body shall be dark; if, therefore, the light that is in thee is darkness -- the darkness, how great! 
6:24	'None is able to serve two lords, for either he will hate the one and love the other, or he will hold to the one, and despise the other; ye are not able to serve God and Mammon. 
6:25	'Because of this I say to you, be not anxious for your life, what ye may eat, and what ye may drink, nor for your body, what ye may put on. Is not the life more than the nourishment, and the body than the clothing? 
6:26	look to the fowls of the heaven, for they do not sow, nor reap, nor gather into storehouses, and your heavenly Father doth nourish them; are not ye much better than they? 
6:27	'And who of you, being anxious, is able to add to his age one cubit? 
6:28	and about clothing why are ye anxious? consider well the lilies of the field; how do they grow? they do not labour, nor do they spin; 
6:29	and I say to you, that not even Solomon in all his glory was arrayed as one of these. 
6:30	'And if the herb of the field, that to-day is, and to-morrow is cast to the furnace, God doth so clothe -- not much more you, O ye of little faith? 
6:31	therefore ye may not be anxious, saying, What may we eat? or, What may we drink? or, What may we put round? 
6:32	for all these do the nations seek for, for your heavenly Father doth know that ye have need of all these; 
6:33	but seek ye first the reign of God and His righteousness, and all these shall be added to you. 
6:34	Be not therefore anxious for the morrow, for the morrow shall be anxious for its own things; sufficient for the day is the evil of it. 
7:1	'Judge not, that ye may not be judged, 
7:2	for in what judgment ye judge, ye shall be judged, and in what measure ye measure, it shall be measured to you. 
7:3	'And why dost thou behold the mote that is in thy brother's eye, and the beam that is in thine own eye dost not consider? 
7:4	or, how wilt thou say to thy brother, Suffer I may cast out the mote from thine eye, and lo, the beam is in thine own eye? 
7:5	Hypocrite, cast out first the beam out of thine own eye, and then thou shalt see clearly to cast out the mote out of thy brother's eye. 
7:6	'Ye may not give that which is holy to the dogs, nor cast your pearls before the swine, that they may not trample them among their feet, and having turned -- may rend you. 
7:7	'Ask, and it shall be given to you; seek, and ye shall find; knock, and it shall be opened to you; 
7:8	for everyone who is asking doth receive, and he who is seeking doth find, and to him who is knocking it shall be opened. 
7:9	'Or what man is of you, of whom, if his son may ask a loaf -- a stone will he present to him? 
7:10	and if a fish he may ask -- a serpent will he present to him? 
7:11	if, therefore, ye being evil, have known good gifts to give to your children, how much more shall your Father who is in the heavens give good things to those asking him? 
7:12	'All things, therefore, whatever ye may will that men may be doing to you, so also do to them, for this is the law and the prophets. 
7:13	'Go ye in through the strait gate, because wide is the gate, and broad the way that is leading to the destruction, and many are those going in through it; 
7:14	how strait is the gate, and compressed the way that is leading to the life, and few are those finding it! 
7:15	'But, take heed of the false prophets, who come unto you in sheep's clothing, and inwardly are ravening wolves. 
7:16	From their fruits ye shall know them; do men gather from thorns grapes? or from thistles figs? 
7:17	so every good tree doth yield good fruits, but the bad tree doth yield evil fruits. 
7:18	A good tree is not able to yield evil fruits, nor a bad tree to yield good fruits. 
7:19	Every tree not yielding good fruit is cut down and is cast to fire: 
7:20	therefore from their fruits ye shall know them. 
7:21	'Not everyone who is saying to me Lord, lord, shall come into the reign of the heavens; but he who is doing the will of my Father who is in the heavens. 
7:22	Many will say to me in that day, Lord, lord, have we not in thy name prophesied? and in thy name cast out demons? and in thy name done many mighty things? 
7:23	and then I will acknowledge to them, that -- I never knew you, depart from me ye who are working lawlessness. 
7:24	'Therefore, everyone who doth hear of me these words, and doth do them, I will liken him to a wise man who built his house upon the rock; 
7:25	and the rain did descend, and the streams came, and the winds blew, and they beat on that house, and it fell not, for it had been founded on the rock. 
7:26	'And everyone who is hearing of me these words, and is not doing them, shall be likened to a foolish man who built his house upon the sand; 
7:27	and the rain did descend, and the streams came, and the winds blew, and they beat on that house, and it fell, and its fall was great.' 
7:28	And it came to pass, when Jesus ended these words, the multitudes were astonished at his teaching, 
7:29	for he was teaching them as having authority, and not as the scribes. 
8:1	And when he came down from the mount, great multitudes did follow him, 
8:2	and lo, a leper having come, was bowing to him, saying, 'Sir, if thou art willing, thou art able to cleanse me;' 
8:3	and having stretched forth the hand, Jesus touched him, saying, 'I will, be thou cleansed,' and immediately his leprosy was cleansed. 
8:4	And Jesus saith to him, 'See, thou may tell no one, but go, thyself shew to the priest, and bring the gift that Moses commanded for a testimony to them.' 
8:5	And Jesus having entered into Capernaum, there came to him a centurion calling upon him, 
8:6	and saying, 'Sir, my young man hath been laid in the house a paralytic, fearfully afflicted,' 
8:7	and Jesus saith to him, 'I, having come, will heal him.' 
8:8	And the centurion answering said, 'Sir, I am not worthy that thou may enter under my roof, but only say a word, and my servant shall be healed; 
8:9	for I also am a man under authority, having under myself soldiers, and I say to this one, Go, and he goeth, and to another, Be coming, and he cometh, and to my servant, Do this, and he doth it.' 
8:10	And Jesus having heard, did wonder, and said to those following, 'Verily I say to you, not even in Israel so great faith have I found; 
8:11	and I say to you, that many from east and west shall come and recline (at meat) with Abraham, and Isaac, and Jacob, in the reign of the heavens, 
8:12	but the sons of the reign shall be cast forth to the outer darkness -- there shall be the weeping and the gnashing of the teeth.' 
8:13	And Jesus said to the centurion, 'Go, and as thou didst believe let it be to thee;' and his young man was healed in that hour. 
8:14	And Jesus having come into the house of Peter, saw his mother-in-law laid, and fevered, 
8:15	and he touched her hand, and the fever left her, and she arose, and was ministering to them. 
8:16	And evening having come, they brought to him many demoniacs, and he did cast out the spirits with a word, and did heal all who were ill, 
8:17	that it might be fulfilled that was spoken through Isaiah the prophet, saying, 'Himself took our infirmities, and the sicknesses he did bear.' 
8:18	And Jesus having seen great multitudes about him, did command to depart to the other side; 
8:19	and a certain scribe having come, said to him, 'Teacher, I will follow thee wherever thou may go;' 
8:20	and Jesus saith to him, 'The foxes have holes, and the birds of the heaven places of rest, but the Son of Man hath not where he may lay the head.' 
8:21	And another of his disciples said to him, 'Sir, permit me first to depart and to bury my father;' 
8:22	and Jesus said to him, 'Follow me, and suffer the dead to bury their own dead.' 
8:23	And when he entered into the boat his disciples did follow him, 
8:24	and lo, a great tempest arose in the sea, so that the boat was being covered by the waves, but he was sleeping, 
8:25	and his disciples having come to him, awoke him, saying, 'Sir, save us; we are perishing.' 
8:26	And he saith to them, 'Why are ye fearful, O ye of little faith?' Then having risen, he rebuked the winds and the sea, and there was a great calm; 
8:27	and the men wondered, saying, 'What kind -- is this, that even the wind and the sea do obey him?' 
8:28	And he having come to the other side, to the region of the Gergesenes, there met him two demoniacs, coming forth out of the tombs, very fierce, so that no one was able to pass over by that way, 
8:29	and lo, they cried out, saying, 'What -- to us and to thee, Jesus, Son of God? didst thou come hither, before the time, to afflict us?' 
8:30	And there was far off from them a herd of many swine feeding, 
8:31	and the demons were calling on him, saying, 'If thou dost cast us forth, permit us to go away to the herd of the swine;' 
8:32	and he saith to them, 'Go.' And having come forth, they went to the herd of the swine, and lo, the whole herd of the swine rushed down the steep, to the sea, and died in the waters, 
8:33	and those feeding did flee, and, having gone to the city, they declared all, and the matter of the demoniacs. 
8:34	And lo, all the city came forth to meet Jesus, and having seen him, they called on him that he might depart from their borders. 
9:1	And having gone to the boat, he passed over, and came to his own city, 
9:2	and lo, they were bringing to him a paralytic, laid upon a couch, and Jesus having seen their faith, said to the paralytic, 'Be of good courage, child, thy sins have been forgiven thee.' 
9:3	And lo, certain of the scribes said within themselves, 'This one doth speak evil.' 
9:4	And Jesus, having known their thoughts, said, 'Why think ye evil in your hearts? 
9:5	for which is easier? to say, The sins have been forgiven to thee; or to say, Rise, and walk? 
9:6	'But, that ye may know that the Son of Man hath power upon the earth to forgive sins -- (then saith he to the paralytic) -- having risen, take up thy couch, and go to thy house.' 
9:7	And he, having risen, went to his house, 
9:8	and the multitudes having seen, wondered, and glorified God, who did give such power to men. 
9:9	And Jesus passing by thence, saw a man sitting at the tax-office, named Matthew, and saith to him, 'Be following me,' and he, having risen, did follow him. 
9:10	And it came to pass, he reclining (at meat) in the house, that lo, many tax-gatherers and sinners having come, were lying (at meat) with Jesus and his disciples, 
9:11	and the Pharisees having seen, said to his disciples, 'Wherefore with the tax-gatherers and sinners doth your teacher eat?' 
9:12	And Jesus having heard, said to them, 'They who are whole have no need of a physician, but they who are ill; 
9:13	but having gone, learn ye what is, Kindness I will, and not sacrifice, for I did not come to call righteous men, but sinners, to reformation.' 
9:14	Then come to him do the disciples of John, saying, 'Wherefore do we and the Pharisees fast much, and thy disciples fast not?' 
9:15	And Jesus said to them, 'Can the sons of the bride-chamber mourn, so long as the bridegroom is with them? but days shall come when the bridegroom may be taken from them, and then they shall fast. 
9:16	'And no one doth put a patch of undressed cloth on an old garment, for its filling up doth take from the garment, and a worse rent is made. 
9:17	'Nor do they put new wine into old skins, and if not -- the skins burst, and the wine doth run out, and the skins are destroyed, but they put new wine into new skins, and both are preserved together.' 
9:18	While he is speaking these things to them, lo, a ruler having come, was bowing to him, saying that 'My daughter just now died, but, having come, lay thy hand upon her, and she shall live.' 
9:19	And Jesus having risen, did follow him, also his disciples, 
9:20	and lo, a woman having an issue of blood twelve years, having come to him behind, did touch the fringe of his garments, 
9:21	for she said within herself, 'If only I may touch his garment, I shall be saved.' 
9:22	And Jesus having turned about, and having seen her, said, 'Be of good courage, daughter, thy faith hath saved thee,' and the woman was saved from that hour. 
9:23	And Jesus having come to the house of the ruler, and having seen the minstrels and the multitude making tumult, 
9:24	he saith to them, 'Withdraw, for the damsel did not die, but doth sleep,' and they were deriding him; 
9:25	but, when the multitude was put forth, having gone in, he took hold of her hand, and the damsel arose, 
9:26	and the fame of this went forth to all the land. 
9:27	And Jesus passing on thence, two blind men followed him, calling and saying, 'Deal kindly with us, Son of David.' 
9:28	And he having come to the house, the blind men came to him, and Jesus saith to them, 'Believe ye that I am able to do this?' They say to him, 'Yes, sir.' 
9:29	Then touched he their eyes, saying, 'According to your faith let it be to you,' 
9:30	and their eyes were opened, and Jesus strictly charged them, saying, 'See, let no one know;' 
9:31	but they, having gone forth, did spread his fame in all that land. 
9:32	And as they are coming forth, lo, they brought to him a man dumb, a demoniac, 
9:33	and the demon having been cast out, the dumb spake, and the multitude did wonder, saying that 'It was never so seen in Israel:' 
9:34	but the Pharisees said, 'By the ruler of the demons he doth cast out the demons.' 
9:35	And Jesus was going up and down all the cities and the villages, teaching in their synagogues, and proclaiming the good news of the reign, and healing every sickness and every malady among the people. 
9:36	And having seen the multitudes, he was moved with compassion for them, that they were faint and cast aside, as sheep not having a shepherd, 
9:37	then saith he to his disciples, 'The harvest indeed is abundant, but the workmen few; 
9:38	beseech ye therefore the Lord of the harvest, that he may put forth workmen to His harvest.' 
10:1	And having called to him his twelve disciples, he gave to them power over unclean spirits, so as to be casting them out, and to be healing every sickness, and every malady. 
10:2	And of the twelve apostles the names are these: first, Simon, who is called Peter, and Andrew his brother; James of Zebedee, and John his brother; 
10:3	Philip, and Bartholomew; Thomas, and Matthew the tax-gatherer; James of Alpheus, and Lebbeus who was surnamed Thaddeus; 
10:4	Simon the Cananite, and Judas Iscariot, who did also deliver him up. 
10:5	These twelve did Jesus send forth, having given command to them, saying, 'To the way of the nations go not away, and into a city of the Samaritans go not in, 
10:6	and be going rather unto the lost sheep of the house of Israel. 
10:7	'And, going on, proclaim saying that, the reign of the heavens hath come nigh; 
10:8	infirm ones be healing, lepers be cleansing, dead be raising, demons be casting out -- freely ye did receive, freely give. 
10:9	'Provide not gold, nor silver, nor brass in your girdles, 
10:10	nor scrip for the way, nor two coats, nor sandals, nor staff -- for the workman is worthy of his nourishment. 
10:11	'And into whatever city or village ye may enter, inquire ye who in it is worthy, and there abide, till ye may go forth. 
10:12	And coming to the house salute it, 
10:13	and if indeed the house be worthy, let your peace come upon it; and if it be not worthy, let your peace turn back to you. 
10:14	'And whoever may not receive you nor hear your words, coming forth from that house or city, shake off the dust of your feet, 
10:15	verily I say to you, It shall be more tolerable for the land of Sodom and Gomorrah in the day of judgment than for that city. 
10:16	'Lo, I do send you forth as sheep in the midst of wolves, be ye therefore wise as the serpents, and simple as the doves. 
10:17	And, take ye heed of men, for they will give you up to sanhedrims, and in their synagogues they will scourge you, 
10:18	and before governors and kings ye shall be brought for my sake, for a testimony to them and to the nations. 
10:19	'And whenever they may deliver you up, be not anxious how or what ye may speak, for it shall be given you in that hour what ye shall speak; 
10:20	for ye are not the speakers, but the Spirit of your Father that is speaking in you. 
10:21	'And brother shall deliver up brother to death, and father child, and children shall rise up against parents, and shall put them to death, 
10:22	and ye shall be hated by all because of my name, but he who hath endured to the end, he shall be saved. 
10:23	'And whenever they may persecute you in this city, flee to the other, for verily I say to you, ye may not have completed the cities of Israel till the Son of Man may come. 
10:24	'A disciple is not above the teacher, nor a servant above his lord; 
