Psalms of Solomon 
1:1	εβοησα προς κυριον εν τω θλιβεσθαι με εις τελος προς τον θεον εν τω επιθεσθαι αμαρτωλούς
4:1	ινα τι συ βεβηλε καθησαι εν συνεδριω οσιων και η καρδια σου μακραν αφεστηκεν απο του κυριου εν παρανομιαις παροργιζων τον θεον Ισραηλ
4:2	περισσός εν λογοις περισσός εν σημειώσει υπερ παντας ο σκληρός εν λογοις κατακριναι αμαρτωλούς εν κρισει
4:3	και η χειρ αυτου εν πρωτοις επ αυτον ως εν ζηλει και αυτος ενοχος εν ποικιλια αμαρτιών και εν ακρασιαις
4:4	οι οφθαλμοι αυτου επι πασαν γυναικα ανευ διαστολης η γλώσσα αυτου ψευδης εν συναλλαγματι μεθ ορκου
4:5	εν νυκτι και εν αποκρυφοις αμαρτανει ως ουχ ορωμενος εν οφθαλμοις αυτου λαλει παση γυναικι εν συνταγη κακιας ταχυς εισοδω εις πασαν οικιαν εν ιλαροτητι ως ακακος
4:6	εξαραι ο θεος τους εν υποκρισει ζωντας μετα οσιων εν φθορα σαρκος αυτου και πενια την ζωην αυτου
4:7	ανακαλυψαι ο θεος τα εργα ανθρωπων ανθρωπαρεσκων εν καταγελωτι και μυκτηρισμω τα εργα αυτου
4:8	και δικαιωσαισαν οσιοι το κριμα του θεου αυτων εν τω εξαιρεσθαι αμαρτωλους απο προσωπου δικαιου ανθρωπαρεσκον λαλουντα νομον μετα δολου
4:9	και οι οφθαλμοι αυτων επ οικον ανδρος εν ευσταθεια ως οφις διαλυσαι σοφιαν αλληλων εν λογοις παρανομων
4:10	οι λογοι αυτου παραλογισμοι εις πραξιν επιθυμιας αδικου ουκ απεστη εως ενικησεν σκορπισαι ως εν ορφανια
4:11	και ηρημωσεν οικον ενεκεν επιθυμιας παρανομου παρελογισατο εν λογοις οτι ουκ εστιν ορων και κρινων
4:12	επλησθη εν παρανομια εν ταυτη και οι οφθαλμοι αυτου επ οικον ετερον ολεθρευσαι εν λογοις αναπτερωσεως
4:13	ουκ εμπιπλαται η ψυχη αυτου ως αδης εν πασι τουτοις
4:14	γενοιτο κυριε η μερις αυτου εν ατιμια ενωπιον σου η εξοδος αυτου εν στεναγμοις και η εισοδος αυτου εν αρα
4:15	εν οδυναις και πενια και απορια η ζωη αυτου κυριε ο υπνος αυτου εν λυπαις και η εξεγερσις αυτου εν αποριαις
4:16	αφαιρεθειη υπνος απο κροταφων αυτου εν νυκτι αποπεσοι απο παντος εργου χειρων αυτου εν ατιμια
4:17	κενος χερσιν αυτου εισελθοι εις τον οικον αυτου και ελλιπης ο οικος αυτου απο παντος ου εμπλησει ψυχην αυτου
4:18	εν μονωσει ατεκνιας το γηρας αυτου εις αναλημψιν
4:19	σκορπισθειησαν σαρκες ανθρωπαρεσκων υπο θηριων και οστα παρανομων κατεναντι του ηλιου εν ατιμια
4:20	οφθαλμους εκκοψαισαν κορακες υποκρινομενων οτι ηρημωσαν οικους πολλους ανθρωπων εν ατιμια και εσκορπισαν εν επιθυμια
4:21	και ουκ εμνησθησαν θεου και ουκ εφοβηθησαν τον θεον εν απασι τουτοις και παρωργισαν τον θεον και παρωξυναν
4:22	εξαραι αυτους απο της γης οτι ψυχας ακακων παραλογισμω υπεκρινοντο
4:23	μακαριοι οι φοβουμενοι τον κυριον εν ακακια αυτων ο κυριος ρυσεται αυτους απο ανθρωπων δολιων και αμαρτωλών και ρυσεται ημας απο παντος σκανδαλου παρανομου
4:24	εξαραι ο θεος τους ποιουντας εν υπερηφανια πασαν αδικιαν οτι κριτης μεγας και κραταιος κυριος ο θεος ημων εν δικαιοσυνη
4:25	γενοιτο κυριε το ελεος σου επι παντας τους αγαπωντας σε
5:1	κυριε ο θεος αινεσω τω ονοματι σου εν αγαλλιασει εν μεσω επισταμενων τα κριματα σου τα δικαια
5:2	οτι συ χρηστος και ελεημων η καταφυγη του πτωχου εν τω κεκραγεναι με προς σε μη παρασιωπησης απ εμου
5:3	ου γαρ ληψεται τις σκυλα παρα ανδρος δυνατου και τις ληψεται απο παντων ων εποιησας εαν μη συ δως
5:4	οτι ανθρωπος και η μερις αυτου παρα σου εν σταθμω ου προσθησει του πλεονασαι παρα το κριμα σου ο θεος
5:5	εν τω θλιβεσθαι ημας επικαλεσομεθα σε εις βοηθειαν και συ ουκ αποστρεψη την δεησιν ημων οτι συ ο θεος ημων ει
5:6	μη βαρυνης την χειρα σου εφ ημας ινα μη δι αναγκην αμαρτωμεν
5:7	και εαν μη επιστρεψης ημας ουκ αφεξομεθα αλλ επι σε ηξομεν
5:8	εαν γαρ πεινασω προς σε κεκραξομαι ο θεος και συ δωσεις μοι
5:9	τα πετεινα και τους ιχθυας συ τρεφεις εν τω διδοναι σε υετον ερημοις εις ανατολην χλοης
5:10	ητοιμασας χορτασματα εν ερημω παντι ζωντι και εαν πεινασωσιν προς σε αρουσιν προσωπον αυτων
5:11	τους βασιλεις και αρχοντας και λαους συ τρεφεις ο θεος και πτωχου και πενητος η ελπις τις εστιν ει μη συ κυριε
5:12	και συ επακουση οτι τις χρηστος και επιεικης αλλ η συ ευφραναι ψυχην ταπεινου εν τω ανοιξαι χειρα σου εν ελεει
5:13	η χρηστοτης ανθρωπου εν φειδοι και η αυριον και εαν δευτερωση ανευ γογγυσμου και τουτο θαυμασειας
5:14	το δε δομα σου πολυ μετα χρηστοτητος και πλουσιον και ου εστιν η ελπις επι σε ου φεισεται εν δοματι
5:15	επι πασαν την γην το ελεος σου κυριε εν χρηστοτητι
5:16	μακαριος ου μνημονευει ο θεος εν συμμετρια αυταρκειας εαν υπερπλεοναση ο ανθρωπος εξαμαρτανει
5:17	ικανον το μετριον εν δικαιοσυνη και εν τουτω η ευλογια κυριου εις πλησμονην εν δικαιοσυνη
5:18	ευφρανθειησαν οι φοβουμενοι κυριον εν αγαθοις και η χρηστοτης σου επι Ισραηλ εν τη βασιλεια σου
5:19	ευλογημενη η δοξα κυριου οτι αυτος βασιλευς ημων
6:1	μακαριος ανηρ ου η καρδια αυτου ετοιμη επικαλεσασθαι το ονομα κυριου εν τω μνημονευειν αυτον το ονομα κυριου σωθησεται
6:2	αι οδοι αυτου κατευθυνονται υπο κυριου και πεφυλαγμενα εργα χειρων αυτου υπο κυριου θεου αυτου
6:3	απο ορασεως πονηρων ενυπνιων αυτου ου ταραχθησεται η ψυχη αυτου εν διαβασει ποταμων και σαλω θαλασσων ου πτοηθησεται
6:4	εξανεστη εξ υπνου αυτου και ηυλογησεν τω ονοματι κυριου επ ευσταθεια καρδιας αυτου εξυμνησεν τω ονοματι του θεου αυτου
6:5	και εδεηθη του προσωπου κυριου περι παντος του οικου αυτου και κυριος εισηκουσεν προσευχην παντος εν φοβω θεου
6:6	και παν αιτημα ψυχης ελπιζουσης προς αυτον επιτελει ο κυριος ευλογητος κυριος ο ποιων ελεος τοις αγαπωσιν αυτον εν αληθεια
7:1	μη αποσκηνωσης αφ ημων ο θεος ινα μη επιθωνται ημιν οι εμισησαν ημας δωρεαν
7:2	οτι απωσω αυτους ο θεος μη πατησατω ο πους αυτων κληρονομιαν αγιασματος σου
7:3	συ εν θεληματι σου παιδευσον ημας και μη δως εθνεσιν
7:4	εαν γαρ αποστειλης θανατον συ εντελη αυτω περι ημων
7:5	οτι συ ελεημων και ουκ οργισθηση του συντελεσαι ημας
7:6	εν τω κατασκηνουν το ονομα σου εν μεσω ημων ελεηθησομεθα και ουκ ισχυσει προς ημας εθνος
7:7	οτι συ υπερασπιστης ημων και ημεις επικαλεσομεθα σε και συ επακουση ημων
7:8	οτι συ οικτιρησεις το γενος Ισραηλ εις τον αιωνα και ουκ απωση
7:9	και ημεις υπο ζυγον σου τον αιωνα και μαστιγα παιδειας σου
7:10	κατευθυνεις ημας εν καιρω αντιληψεως σου του ελεησαι τον οικον Ιακωβ εις ημεραν εν η επηγγειλω αυτοις
8:1	θλιψιν και φωνην πολεμου ηκουσεν το ους μου φωνην σαλπιγγος ηχουσης σφαγην και ολεθρον
8:2	φωνη λαου πολλου ως ανεμου πολλου σφοδρα ως καταιγις πυρος πολλου φερομενου δι ερημου
8:3	και ειπα εν τη καρδια μου που αρα κρινει αυτον ο θεος
8:4	φωνην ηκουσα εις Ιερουσαλημ πολιν αγιασματος
8:5	συνετριβη η οσφυς μου απο ακοης παρελυθη γονατα μου εφοβηθη η καρδια μου εταραχθη τα οστα μου ως λινον
8:6	ειπα κατευθυνουσιν οδους αυτων εν δικαιοσύνη
8:7	ανελογισαμην τα κριματα του θεου απο κτισεως ουρανου και γης εδικαιωσα τον θεον εν τοις κριμασιν αυτου τοις απ αιωνος
8:8	ανεκαλυψεν ο θεος τας αμαρτιας αυτων εναντιον του ηλιου εγνω πασα η γη τα κριματα του θεου τα δικαια
8:9	εν καταγαιοις κρυφιοις αι παρανομιαι αυτων εν παροργισμω υιος μετα μητρος και πατηρ μετα θυγατρος συνεφυροντο
8:10	εμοιχωντο εκαστος την γυναικα του πλησιον αυτου συνεθεντο αυτοις συνθηκας μετα ορκου περι τουτων
8:11	τα αγια του θεου διηρπαζοσαν ως μη οντος κληρονομου λυτρουμενου
8:12	επατουσαν το θυσιαστηριον κυριου απο πασης ακαθαρσιας και εν αφεδρω αιματος εμιαναν τας θυσιας ως κρεα βεβηλα
8:13	ου παρελιπον αμαρτιαν ην ουκ εποιησαν υπερ τα εθνη
8:14	δια τουτο εκερασεν αυτοις ο θεος πνευμα πλανησεως εποτισεν αυτους ποτηριον οινου ακρατου εις μεθην
8:15	ηγαγεν τον απ εσχατου της γης τον παιοντα κραταιως εκρινεν τον πολεμον επι Ιερουσαλημ και την γην αυτης
8:16	απηντησαν αυτω οι αρχοντες της γης μετα χαρας ειπαν αυτω επευκτη η οδος σου δευτε εισελθατε μετ ειρηνης
8:17	ωμαλισαν οδους τραχειας απο εισοδου αυτου ηνοιξαν πυλας επι Ιερουσαλημ εστεφανωσαν τειχη αυτης
8:18	εισηλθεν ως πατηρ εις οικον υιων αυτου μετ ειρηνης εστησεν τους ποδας αυτου μετα ασφαλειας πολλης
8:19	κατελαβετο τας πυργοβαρεις αυτης και το τειχος Ιερουσαλημ οτι ο θεος ηγαγεν αυτον μετα ασφαλειας εν τη πλανησει αυτων
8:20	απωλεσεν αρχοντας αυτων και παν σοφον εν βουλη εξεχεεν το αιμα των οικουντων Ιερουσαλημ ως υδωρ ακαθαρσιας
8:21	απηγαγεν τους υιους και τας θυγατερας αυτων α εγεννησαν εν βεβηλωσει
8:22	εποιησαν κατα τας ακαθαρσιας αυτων καθως οι πατερες αυτων εμιαναν Ιερουσαλημ και τα ηγιασμενα τω ονοματι του θεου
8:23	εδικαιωθη ο θεος εν τοις κριμασιν αυτου εν τοις εθνεσιν της γης και οι οσιοι του θεου ως αρνια εν ακακια εν μεσω αυτων
8:24	αινετος κυριος ο κρινων πασαν την γην εν δικαιοσυνη αυτου
8:25	ιδου δη ο θεος εδειξας ημιν το κριμα σου εν τη δικαιοσυνη σου ειδοσαν οι οφθαλμοι ημων τα κριματα σου ο θεος
8:26	εδικαιωσαμεν το ονομα σου το εντιμον εις αιωνας οτι συ ο θεος της δικαιοσυνης κρινων τον Ισραηλ εν παιδεια
8:27	επιστρεψον ο θεος το ελεος σου εφ ημας και οικτιρησον ημας
8:28	συναγαγε την διασποραν Ισραηλ μετα ελεους και χρηστοτητος οτι η πιστις σου μεθ ημων
8:29	και ημεις εσκληρυναμεν τον τράχηλον ημων και συ παιδευτης ημων ει
8:30	μη υπεριδης ημας ο θεος ημων ινα μη καταπιωσιν ημας εθνη ως μη οντος λυτρουμενου
8:31	και συ ο θεος ημων απ αρχης και επι σε η ελπις ημων κυριε
8:32	και ημεις ουκ αφεξομεθα σου οτι χρηστα τα κριματα σου εφ ημας
8:33	ημιν και τοις τεκνοις ημων η ευδοκια εις τον αιωνα κυριε σωτηρ ημων ου σαλευθησομεθα ετι τον αιωνα χρονον
8:34	αινετος κυριος εν τοις κριμασιν αυτου εν στοματι οσιων και ευλογημενος Ισραηλ υπο κυριου εις τον αιωνα
9:1	εν τω απαχθηναι Ισραηλ εν αποικεσια εις γην αλλοτριαν εν τω αποστηναι αυτους απο κυριου του λυτρωσαμενου αυτους απερριφησαν απο κληρονομιας ης εδωκεν αυτοις κυριος
9:2	εν παντι εθνει η διασπορα του Ισραηλ κατα το ρημα του θεου ινα δικαιωθης ο θεος εν τη δικαιοσυνη σου εν ταις ανομιαις ημων οτι συ κριτης δικαιος επι παντας τους λαους της γης
9:3	ου γαρ κρυβησεται απο της γνωσεως σου πας ποιων αδικα και αι δικαιοσυναι των οσιων σου ενωπιον σου κυριε και που κρυβησεται ανθρωπος απο της γνωσεως σου ο θεος
9:4	τα εργα ημων εν εκλογη και εξουσια της ψυχης ημων του ποιησαι δικαιοσυνην και αδικιαν εν εργοις χειρων ημων και εν τη δικαιοσυνη σου επισκεπτη υιους ανθρωπων
9:5	ο ποιων δικαιοσυνην θησαυριζει ζωην αυτω παρα κυριω και ο ποιων αδικιαν αυτος αιτιος της ψυχης εν απωλεια τα γαρ κριματα κυριου εν δικαιοσυνη κατ ανδρα και οικον
9:6	τινι χρηστευση ο θεος ει μη τοις επικαλουμενοις τον κυριον καθαριεις εν αμαρτιαις ψυχην εν εξομολογησει εν εξαγοριαις οτι αισχυνη ημιν και τοις προσωποις ημων περι απαντων
9:7	και τινι αφησεις αμαρτιας ει μη τοις ημαρτηκοσιν δικαιους ευλογησεις και ουκ ευθυνεις περι ων ημαρτοσαν και η χρηστοτης σου επι αμαρτανοντας εν μεταμελεια
9:8	και νυν συ ο θεος και ημεις λαος ον ηγαπησας ιδε και οικτιρησον ο θεος Ισραηλ οτι σοι εσμεν και μη αποστησης ελεος σου αφ ημων ινα μη επιθωνται ημιν
9:9	οτι συ ηρετισω το σπερμα Αβρααμ παρα παντα τα εθνη και εθου το ονομα σου εφ ημας κυριε και ουκ απωση εις τον αιωνα
9:10	εν διαθηκη διεθου τοις πατρασιν ημων περι ημων και ημεις ελπιουμεν επι σε εν επιστροφη ψυχης ημων
9:11	του κυριου η ελεημοσυνη επι οικον Ισραηλ εις τον αιωνα και ετι
10:1	μακαριος ανηρ ου ο κυριος εμνησθη εν ελεγμω και εκυκλωθη απο οδου πονηρας εν μαστιγι καθαρισθηναι απο αμαρτίας του μη πληθυναι
10:2	ο ετοιμαζων νωτον εις μαστιγας καθαρισθησεται χρηστος γαρ ο κυριος τοις υπομενουσιν παιδειαν
10:3	ορθωσει γαρ οδους δικαιων και ου διαστρεψει εν παιδεια και το ελεος κυριου επι τους αγαπωντας αυτον εν αληθεια
10:4	και μνησθησεται κυριος των δουλων αυτου εν ελεει η γαρ μαρτυρια εν νομω διαθηκης αιωνιου η μαρτυρια κυριου επι οδους ανθρωπων εν επισκοπη
10:5	δικαιος και οσιος ο κυριος ημων εν κριμασιν αυτου εις τον αιωνα και Ισραηλ αινεσει τω ονοματι κυριου εν ευφροσυνη
10:6	και οσιοι εξομολογησονται εν εκκλησια λαου και πτωχους ελεησει ο θεος εν ευφροσυνη Ισραηλ
10:7	οτι χρηστος και ελεημων ο θεος εις τον αιωνα και συναγωγαι Ισραηλ δοξασουσιν το ονομα κυριου
10:8	του κυριου η σωτηρια επι οικον Ισραηλ εις ευφροσυνην αιωνιον
11:1	σαλπισατε εν Σιων εν σαλπιγγι σημασιας αγιων κηρυξατε εν Ιερουσαλημ φωνην ευαγγελιζομενου οτι ηλεησεν ο θεος Ισραηλ εν τη επισκοπη αυτων
11:2	στηθι Ιερουσαλημ εφ υψηλου και ιδε τα τεκνα σου απο ανατολων και δυσμων συνηγμενα εις απαξ υπο κυριου
11:3	απο βορρα ερχονται τη ευφροσυνη του θεου αυτων εκ νησων μακροθεν συνηγαγεν αυτους ο θεος
11:4	ορη υψηλα εταπεινωσεν εις ομαλισμον αυτοις οι βουνοι εφυγοσαν απο εισοδου αυτων
11:5	οι δρυμοι εσκιασαν αυτοις εν τη παροδω αυτων παν ξυλον ευωδιας ανετειλεν αυτοις ο θεος
11:6	ινα παρελθη Ισραηλ εν επισκοπη δοξης θεου αυτων
11:7	ενδυσαι Ιερουσαλημ τα ιματια της δοξης σου ετοιμασον την στολην του αγιασματος σου οτι ο θεος ελαλησεν αγαθα Ισραηλ εις τον αιωνα και ετι
11:8	ποιησαι κυριος α ελαλησεν επι Ισραηλ και Ιερουσαλημ αναστησαι κυριος τον Ισραηλ εν ονοματι δοξης αυτου
11:9	του κυριου το ελεος επι τον Ισραηλ εις τον αιωνα και ετι
12:1	κυριε ρυσαι την ψυχην μου απο ανδρος παρανομου και πονηρου απο γλωσσης παρανομου και ψιθυρου και λαλουσης ψευδη και δολια
12:2	εν ποικιλία στροφής οι λογοι της γλωσσης ανδρος πονηρού ωσπερ εν λαω πυρ αναπτον καλλονήν αυτου
12:3	η παροικια αυτου εμπρησαι οικους εν γλωσση ψευδει εκκοψαι δενδρα ευφροσύνης φλογιζουσης παρανομους συγχεαι οικους εν πολεμω χειλεσιν ψιθυροις
12:4	μακρυναι ο θεος απο ακακων χειλη παρανομων εν απορια και σκορπισθειησαν οστα ψιθυρων απο φοβουμενων κυριον εν πυρι φλογος γλωσσα ψιθυρος απολοιτο απο οσιων
12:5	φυλαξαι κυριος ψυχην ησυχιον μισουσαν αδικους και κατευθυναι κυριος ανδρα ποιουντα ειρηνην εν οικω
12:6	του κυριου η σωτηρια επι Ισραηλ παιδα αυτου εις τον αιωνα και απολοιντο οι αμαρτωλοι απο προσωπου κυριου απαξ και οσιοι κυριου κληρονομησαισαν επαγγελιας κυριου
13:1	δεξια κυριου εσκεπασεν με δεξια κυριου εφεισατο ημων
13:2	ο βραχιων κυριου εσωσεν ημας απο ρομφαιας διαπορευομενης απο λιμου και θανατου αμαρτωλων
13:3	θηρια επεδραμοσαν αυτοις πονηρα εν τοις οδουσιν αυτων ετιλλοσαν σαρκας αυτων και εν ταις μυλαις εθλων οστα αυτων
13:4	και εκ τουτων απαντων ερρυσατο ημας κυριος
13:5	εταραχθη ο ευσεβης δια τα παραπτωματα αυτου μηποτε συμπαραληφθη μετα των αμαρτωλων
13:6	οτι δεινη η καταστροφη του αμαρτωλου και ουχ αψεται δικαιου ουδεν εκ παντων τουτων
13:7	οτι ουχ ομοια η παιδεια των δικαιων εν αγνοια και η καταστροφη των αμαρτωλων
13:8	εν περιστολη παιδευεται δικαιος ινα μη επιχαρη ο αμαρτωλος τω δικαιω
13:9	οτι νουθετησει δικαιον ως υιον αγαπησεως και η παιδεια αυτου ως πρωτοτοκου
13:10	οτι φεισεται κυριος των οσιων αυτου και τα παραπτωματα αυτων εξαλειψει εν παιδεια
13:11	η γαρ ζωη των δικαιων εις τον αιωνα αμαρτωλοι δε αρθησονται εις απωλειαν και ουχ ευρεθησεται μνημοσυνον αυτων ετι
13:12	επι δε τους οσιους το ελεος κυριου και επι τους φοβουμενους αυτον το ελεος αυτου
14:1	πιστος κυριος τοις αγαπωσιν αυτον εν αληθεια τοις υπομενουσιν παιδειαν αυτου
14:2	τοις πορευομενοις εν δικαιοσύνη προσταγμάτων αυτου εν νομω ω ενετειλατο ημιν εις ζωην ημων
14:3	οσιοι κυριου ζησονται εν αυτω εις τον αιωνα ο παραδεισος του κυριου τα ξυλα της ζωης οσιοι αυτου
14:4	η φυτεια αυτων ερριζωμενη εις τον αιωνα ουκ εκτιλησονται πασας τας ημερας του ουρανου
14:5	οτι η μερις και κληρονομια του θεου εστιν Ισραηλ
14:6	και ουχ ουτως οι αμαρτωλοι και παρανομοι οι ηγαπησαν ημεραν εν μετοχη αμαρτιας αυτων
14:7	εν μικροτητι σαπριας η επιθυμια αυτων και ουκ εμνησθησαν του θεου
14:8	οτι οδοι ανθρωπων γνωσται ενωπιον αυτου δια παντος και ταμιεια καρδιας επισταται προ του γενεσθαι
14:9	δια τουτο η κληρονομια αυτων αδης και σκοτος και απωλεια και ουχ ευρεθησονται εν ημερα ελεους δικαιων
14:10	οι δε οσιοι κυριου κληρονομησουσιν ζωην εν ευφροσυνη
15:1	εν τω θλιβεσθαι με επεκαλεσαμην το ονομα κυριου εις βοηθειαν ηλπισα του θεου Ιακωβ και εσωθην οτι ελπις και καταφυγη των πτωχων συ ο θεος
