
Nehemiah 
1:1	λόγοι Νεεμια υἱοῦ Αχαλια καὶ ἐγένετο ἐν μηνὶ Χασεηλου ἔτους εἰκοστοῦ καὶ ἐγὼ ἤμην ἐν Σουσαν αβιρα 
2:1	καὶ ἐγένετο ἐν μηνὶ Νισαν ἔτους εἰκοστοῦ Αρθασασθα βασιλεῖ καὶ ἦν ὁ οἶνος ἐνώπιον ἐμοῦ καὶ ἔλαβον τὸν οἶνον καὶ ἔδωκα τῷ βασιλεῖ καὶ οὐκ ἦν ἕτερος ἐνώπιον αὐτοῦ 
2:2	καὶ εἶπέν μοι ὁ βασιλεύς διὰ τί τὸ πρόσωπόν σου πονηρὸν καὶ οὐκ εἶ μετριάζων οὐκ ἔστιν τοῦτο εἰ μὴ πονηρία καρδίας καὶ ἐφοβήθην πολὺ σφόδρα 
2:3	καὶ εἶπα τῷ βασιλεῖ ὁ βασιλεὺς εἰς τὸν αἰῶνα ζήτω διὰ τί οὐ μὴ γένηται πονηρὸν τὸ πρόσωπόν μου διότι ἡ πόλις οἶκος μνημείων πατέρων μου ἠρημώθη καὶ αἱ πύλαι αὐτῆς κατεβρώθησαν ἐν πυρί 
2:4	καὶ εἶπέν μοι ὁ βασιλεύς περὶ τίνος τοῦτο σὺ ζητεῖς καὶ προσηυξάμην πρὸς τὸν θεὸν τοῦ οὐρανοῦ 
2:5	καὶ εἶπα τῷ βασιλεῖ εἰ ἐπὶ τὸν βασιλέα ἀγαθόν καὶ εἰ ἀγαθυνθήσεται ὁ παῖς σου ἐνώπιόν σου ὥστε πέμψαι αὐτὸν εἰς Ιουδα εἰς πόλιν μνημείων πατέρων μου καὶ ἀνοικοδομήσω αὐτήν 
2:6	καὶ εἶπέν μοι ὁ βασιλεὺς καὶ ἡ παλλακὴ ἡ καθημένη ἐχόμενα αὐτοῦ ἕως πότε ἔσται ἡ πορεία σου καὶ πότε ἐπιστρέψεις καὶ ἠγαθύνθη ἐνώπιον τοῦ βασιλέως καὶ ἀπέστειλέν με καὶ ἔδωκα αὐτῷ ὅρον 
2:7	καὶ εἶπα τῷ βασιλεῖ εἰ ἐπὶ τὸν βασιλέα ἀγαθόν δότω μοι ἐπιστολὰς πρὸς τοὺς ἐπάρχους πέραν τοῦ ποταμοῦ ὥστε παραγαγεῖν με ἕως ἔλθω ἐπὶ Ιουδαν 
2:8	καὶ ἐπιστολὴν ἐπὶ Ασαφ φύλακα τοῦ παραδείσου ὅς ἐστιν τῷ βασιλεῖ ὥστε δοῦναί μοι ξύλα στεγάσαι τὰς πύλας καὶ εἰς τὸ τεῖχος τῆς πόλεως καὶ εἰς οἶκον ὃν εἰσελεύσομαι εἰς αὐτόν καὶ ἔδωκέν μοι ὁ βασιλεὺς ὡς χεὶρ θεοῦ ἡ ἀγαθή 
2:9	καὶ ἦλθον πρὸς τοὺς ἐπάρχους πέραν τοῦ ποταμοῦ καὶ ἔδωκα αὐτοῖς τὰς ἐπιστολὰς τοῦ βασιλέως καὶ ἀπέστειλεν μετ᾽ ἐμοῦ ὁ βασιλεὺς ἀρχηγοὺς δυνάμεως καὶ ἱππεῖς 
2:10	καὶ ἤκουσεν Σαναβαλλατ ὁ Αρωνι καὶ Τωβια ὁ δοῦλος ὁ Αμμωνι καὶ πονηρὸν αὐτοῖς ἐγένετο ὅτι ἥκει ἄνθρωπος ζητῆσαι ἀγαθὸν τοῖς υἱοῖς Ισραηλ 
2:11	καὶ ἦλθον εἰς Ιερουσαλημ καὶ ἤμην ἐκεῖ ἡμέρας τρεῖς 
2:12	καὶ ἀνέστην νυκτὸς ἐγὼ καὶ ἄνδρες ὀλίγοι μετ᾽ ἐμοῦ καὶ οὐκ ἀπήγγειλα ἀνθρώπῳ τί ὁ θεὸς δίδωσιν εἰς καρδίαν μου τοῦ ποιῆσαι μετὰ τοῦ Ισραηλ καὶ κτῆνος οὐκ ἔστιν μετ᾽ ἐμοῦ εἰ μὴ τὸ κτῆνος ᾧ ἐγὼ ἐπιβαίνω ἐπ᾽ αὐτῷ 
2:13	καὶ ἐξῆλθον ἐν πύλῃ τοῦ γωληλα καὶ πρὸς στόμα πηγῆς τῶν συκῶν καὶ εἰς πύλην τῆς κοπρίας καὶ ἤμην συντρίβων ἐν τῷ τείχει Ιερουσαλημ ὃ αὐτοὶ καθαιροῦσιν καὶ πύλαι αὐτῆς κατεβρώθησαν πυρί 
2:14	καὶ παρῆλθον ἐπὶ πύλην τοῦ Αιν καὶ εἰς κολυμβήθραν τοῦ βασιλέως καὶ οὐκ ἦν τόπος τῷ κτήνει παρελθεῖν ὑποκάτω μου 
2:15	καὶ ἤμην ἀναβαίνων ἐν τῷ τείχει χειμάρρου νυκτὸς καὶ ἤμην συντρίβων ἐν τῷ τείχει καὶ ἤμην ἐν πύλῃ τῆς φάραγγος καὶ ἐπέστρεψα 
2:16	καὶ οἱ φυλάσσοντες οὐκ ἔγνωσαν τί ἐπορεύθην καὶ τί ἐγὼ ποιῶ καὶ τοῖς Ιουδαίοις καὶ τοῖς ἱερεῦσιν καὶ τοῖς ἐντίμοις καὶ τοῖς στρατηγοῖς καὶ τοῖς καταλοίποις τοῖς ποιοῦσιν τὰ ἔργα ἕως τότε οὐκ ἀπήγγειλα 
2:17	καὶ εἶπα πρὸς αὐτούς ὑμεῖς βλέπετε τὴν πονηρίαν ἐν ᾗ ἐσμεν ἐν αὐτῇ πῶς Ιερουσαλημ ἔρημος καὶ αἱ πύλαι αὐτῆς ἐδόθησαν πυρί δεῦτε καὶ διοικοδομήσωμεν τὸ τεῖχος Ιερουσαλημ καὶ οὐκ ἐσόμεθα ἔτι ὄνειδος 
2:18	καὶ ἀπήγγειλα αὐτοῖς τὴν χεῖρα τοῦ θεοῦ ἥ ἐστιν ἀγαθὴ ἐπ᾽ ἐμέ καὶ τοὺς λόγους τοῦ βασιλέως οὓς εἶπέν μοι καὶ εἶπα ἀναστῶμεν καὶ οἰκοδομήσωμεν καὶ ἐκραταιώθησαν αἱ χεῖρες αὐτῶν εἰς ἀγαθόν 
2:19	καὶ ἤκουσεν Σαναβαλλατ ὁ Αρωνι καὶ Τωβια ὁ δοῦλος ὁ Αμμωνι καὶ Γησαμ ὁ Αραβι καὶ ἐξεγέλασαν ἡμᾶς καὶ ἦλθον ἐφ᾽ ἡμᾶς καὶ εἶπαν τί τὸ ῥῆμα τοῦτο ὃ ὑμεῖς ποιεῖτε ἦ ἐπὶ τὸν βασιλέα ὑμεῖς ἀποστατεῖτε 
2:20	καὶ ἐπέστρεψα αὐτοῖς λόγον καὶ εἶπα αὐτοῖς ὁ θεὸς τοῦ οὐρανοῦ αὐτὸς εὐοδώσει ἡμῖν καὶ ἡμεῖς δοῦλοι αὐτοῦ καθαροί καὶ οἰκοδομήσομεν καὶ ὑμῖν οὐκ ἔστιν μερὶς καὶ δικαιοσύνη καὶ μνημόσυνον ἐν Ιερουσαλημ 
3:1	καὶ ἀνέστη Ελισουβ ὁ ἱερεὺς ὁ μέγας καὶ οἱ ἀδελφοὶ αὐτοῦ οἱ ἱερεῖς καὶ ᾠκοδόμησαν τὴν πύλην τὴν προβατικήν αὐτοὶ ἡγίασαν αὐτὴν καὶ ἔστησαν θύρας αὐτῆς καὶ ἕως πύργου τῶν ἑκατὸν ἡγίασαν ἕως πύργου Ανανεηλ 
3:2	καὶ ἐπὶ χεῖρας υἱῶν ἀνδρῶν Ιεριχω καὶ ἐπὶ χεῖρας υἱῶν Ζακχουρ υἱοῦ Αμαρι 
3:3	καὶ τὴν πύλην τὴν ἰχθυηρὰν ᾠκοδόμησαν υἱοὶ Ασανα αὐτοὶ ἐστέγασαν αὐτὴν καὶ ἔστησαν θύρας αὐτῆς καὶ κλεῖθρα αὐτῆς καὶ μοχλοὺς αὐτῆς 
3:4	καὶ ἐπὶ χεῖρα αὐτῶν κατέσχεν ἀπὸ Ραμωθ υἱὸς Ουρια υἱοῦ Ακως καὶ ἐπὶ χεῖρα αὐτῶν κατέσχεν Μοσολλαμ υἱὸς Βαραχιου υἱοῦ Μασεζεβηλ καὶ ἐπὶ χεῖρα αὐτῶν κατέσχεν Σαδωκ υἱὸς Βαανα 
3:5	καὶ ἐπὶ χεῖρα αὐτῶν κατέσχοσαν οἱ Θεκωιν καὶ αδωρηεμ οὐκ εἰσήνεγκαν τράχηλον αὐτῶν εἰς δουλείαν αὐτῶν 
3:6	καὶ τὴν πύλην τοῦ Ισανα ἐκράτησαν Ιοϊδα υἱὸς Φασεκ καὶ Μεσουλαμ υἱὸς Βασωδια αὐτοὶ ἐστέγασαν αὐτὴν καὶ ἔστησαν θύρας αὐτῆς καὶ κλεῖθρα αὐτῆς καὶ μοχλοὺς αὐτῆς 
3:7	Και από αυτούς η Μάλτια ο Γκιμπάνι κράτησε και έκρινε τους Μερνάτι τον λαό της Γαβαών και η σκοπιά για τον θρόνο ο Φαχάθ πέρασε τον ποταμό 
3:8	καὶ ἐπὶ χεῖρα αὐτῶν ἐκράτησεν Ανανιας υἱὸς τοῦ Ρωκεϊμ καὶ κατέλιπον Ιερουσαλημ ἕως τοῦ τείχους τοῦ πλατέος 
3:9	καὶ ἐπὶ χεῖρα αὐτῶν ἐκράτησεν Ραφαια ἄρχων ἡμίσους περιχώρου Ιερουσαλημ 
3:10	καὶ ἐπὶ χεῖρα αὐτῶν ἐκράτησεν Ιεδαια υἱὸς Ερωμαφ καὶ κατέναντι οἰκίας αὐτοῦ καὶ ἐπὶ χεῖρα αὐτοῦ ἐκράτησεν Ατους υἱὸς Ασβανια 
3:11	καὶ δεύτερος ἐκράτησεν Μελχιας υἱὸς Ηραμ καὶ Ασουβ υἱὸς Φααθμωαβ καὶ ἕως πύργου τῶν θαννουριμ 
3:12	καὶ ἐπὶ χεῖρα αὐτοῦ ἐκράτησεν Σαλουμ υἱὸς Αλλωης ἄρχων ἡμίσους περιχώρου Ιερουσαλημ αὐτὸς καὶ αἱ θυγατέρες αὐτοῦ 
3:13	τὴν πύλην τῆς φάραγγος ἐκράτησαν Ανουν καὶ οἱ κατοικοῦντες Ζανω αὐτοὶ ᾠκοδόμησαν αὐτὴν καὶ ἔστησαν θύρας αὐτῆς καὶ κλεῖθρα αὐτῆς καὶ μοχλοὺς αὐτῆς καὶ χιλίους πήχεις ἐν τῷ τείχει ἕως πύλης τῆς κοπρίας 
3:14	καὶ τὴν πύλην τῆς κοπρίας ἐκράτησεν Μελχια υἱὸς Ρηχαβ ἄρχων περιχώρου Βηθαχαρμ αὐτὸς καὶ οἱ υἱοὶ αὐτοῦ καὶ ἐσκέπασαν αὐτὴν καὶ ἔστησαν θύρας αὐτῆς καὶ κλεῖθρα αὐτῆς καὶ μοχλοὺς αὐτῆς 
3:15	καὶ τὸ τεῖχος κολυμβήθρας τῶν κωδίων τῇ κουρᾷ τοῦ βασιλέως καὶ ἕως τῶν κλιμάκων τῶν καταβαινουσῶν ἀπὸ πόλεως Δαυιδ 
3:16	ὀπίσω αὐτοῦ ἐκράτησεν Νεεμιας υἱὸς Αζαβουχ ἄρχων ἡμίσους περιχώρου Βηθσουρ ἕως κήπου τάφου Δαυιδ καὶ ἕως τῆς κολυμβήθρας τῆς γεγονυίας καὶ ἕως Βηθαγγαβαριμ 
3:17	ὀπίσω αὐτοῦ ἐκράτησαν οἱ Λευῖται Ραουμ υἱὸς Βανι ἐπὶ χεῖρα αὐτοῦ ἐκράτησεν Ασαβια ἄρχων ἡμίσους περιχώρου Κεϊλα τῷ περιχώρῳ αὐτοῦ 
3:18	μετ᾽ αὐτὸν ἐκράτησαν ἀδελφοὶ αὐτῶν Βενι υἱὸς Ηναδαδ ἄρχων ἡμίσους περιχώρου Κεϊλα 
3:19	καὶ ἐκράτησεν ἐπὶ χεῖρα αὐτοῦ Αζουρ υἱὸς Ἰησοῦ ἄρχων τοῦ Μασφε μέτρον δεύτερον πύργου ἀναβάσεως τῆς συναπτούσης τῆς γωνίας 
3:20	μετ᾽ αὐτὸν ἐκράτησεν Βαρουχ υἱὸς Ζαβου μέτρον δεύτερον ἀπὸ τῆς γωνίας ἕως θύρας Βηθελισουβ τοῦ ἱερέως τοῦ μεγάλου 
3:21	μετ᾽ αὐτὸν ἐκράτησεν Μεραμωθ υἱὸς Ουρια υἱοῦ Ακως μέτρον δεύτερον ἀπὸ θύρας Βηθελισουβ ἕως ἐκλείψεως Βηθελισουβ 
3:22	καὶ μετ᾽ αὐτὸν ἐκράτησαν οἱ ἱερεῖς ἄνδρες Αχεχαρ 
3:23	καὶ μετ᾽ αὐτὸν ἐκράτησεν Βενιαμιν καὶ Ασουβ κατέναντι οἴκου αὐτῶν μετ᾽ αὐτὸν ἐκράτησεν Αζαρια υἱὸς Μαασηα υἱοῦ Ανανια ἐχόμενα οἴκου αὐτοῦ 
3:24	μετ᾽ αὐτὸν ἐκράτησεν Βανι υἱὸς Ηναδαδ μέτρον δεύτερον ἀπὸ Βηθαζαρια ἕως τῆς γωνίας καὶ ἕως τῆς καμπῆς 
3:25	Φαλαλ υἱοῦ Ευζαι ἐξ ἐναντίας τῆς γωνίας καὶ ὁ πύργος ὁ ἐξέχων ἐκ τοῦ οἴκου τοῦ βασιλέως ὁ ἀνώτερος ὁ τῆς αὐλῆς τῆς φυλακῆς καὶ μετ᾽ αὐτὸν Φαδαια υἱὸς Φορος 
3:26	καὶ οἱ ναθινιμ ἦσαν οἰκοῦντες ἐν τῷ Ωφαλ ἕως κήπου πύλης τοῦ ὕδατος εἰς ἀνατολάς καὶ ὁ πύργος ὁ ἐξέχων 
3:27	μετ᾽ αὐτὸν ἐκράτησαν οἱ Θεκωιν μέτρον δεύτερον ἐξ ἐναντίας τοῦ πύργου τοῦ μεγάλου τοῦ ἐξέχοντος καὶ ἕως τοῦ τείχους τοῦ Οφλα 
3:28	ἀνώτερον πύλης τῶν ἵππων ἐκράτησαν οἱ ἱερεῖς ἀνὴρ ἐξ ἐναντίας οἴκου αὐτοῦ 
3:29	μετ᾽ αὐτὸν ἐκράτησεν Σαδδουκ υἱὸς Εμμηρ ἐξ ἐναντίας οἴκου αὐτοῦ καὶ μετ᾽ αὐτὸν ἐκράτησεν Σαμαια υἱὸς Σεχενια φύλαξ τῆς πύλης τῆς ἀνατολῆς 
3:30	μετ᾽ αὐτὸν ἐκράτησεν Ανανια υἱὸς Σελεμια καὶ Ανουμ υἱὸς Σελεφ ὁ ἕκτος μέτρον δεύτερον μετ᾽ αὐτὸν ἐκράτησεν Μεσουλαμ υἱὸς Βαρχια ἐξ ἐναντίας γαζοφυλακίου αὐτοῦ 
3:31	μετ᾽ αὐτὸν ἐκράτησεν Μελχια υἱὸς τοῦ Σαραφι ἕως Βηθαναθινιμ καὶ οἱ ῥοποπῶλαι ἀπέναντι πύλης τοῦ Μαφεκαδ καὶ ἕως ἀναβάσεως τῆς καμπῆς 
3:32	καὶ ἀνὰ μέσον ἀναβάσεως τῆς πύλης τῆς προβατικῆς ἐκράτησαν οἱ χαλκεῖς καὶ οἱ ῥοποπῶλαι 
4:1	καὶ ἐγένετο ἡνίκα ἤκουσεν Σαναβαλλατ ὅτι ἡμεῖς οἰκοδομοῦμεν τὸ τεῖχος καὶ πονηρὸν ἦν αὐτῷ καὶ ὠργίσθη ἐπὶ πολὺ καὶ ἐξεγέλα ἐπὶ τοῖς Ιουδαίοις 
4:2	καὶ εἶπεν ἐνώπιον τῶν ἀδελφῶν αὐτοῦ αὕτη ἡ δύναμις Σομορων ὅτι οἱ Ιουδαῖοι οὗτοι οἰκοδομοῦσιν τὴν ἑαυτῶν πόλιν 
4:3	καὶ Τωβιας ὁ αμμανίτης ἐχόμενα αὐτοῦ ἦλθεν καὶ εἶπαν πρὸς ἑαυτούς μὴ θυσιάσουσιν ἢ φάγονται ἐπὶ τοῦ τόπου αὐτῶν οὐχὶ ἀναβήσεται ἀλώπηξ καὶ καθελεῖ τὸ τεῖχος λίθων αὐτῶν 
4:4	ἄκουσον ὁ θεὸς ἡμῶν ὅτι ἐγενήθημεν εἰς μυκτηρισμόν καὶ ἐπίστρεψον ὀνειδισμὸν αὐτῶν εἰς κεφαλὴν αὐτῶν καὶ δὸς αὐτοὺς εἰς μυκτηρισμὸν ἐν γῇ αἰχμαλωσίας 
4:5	καὶ μὴ καλύψῃς ἐπὶ ἀνομίαν 
4:6	καὶ μὴ καλύψῃς ἐπὶ ἀνομίαν. 
4:7	καὶ ἐγένετο ὡς ἤκουσεν Σαναβαλλατ καὶ Τωβια καὶ οἱ Ἄραβες καὶ οἱ Αμμανῖται ὅτι ἀνέβη φυὴ τοῖς τείχεσιν Ιερουσαλημ ὅτι ἤρξαντο αἱ διασφαγαὶ ἀναφράσσεσθαι καὶ πονηρὸν αὐτοῖς ἐφάνη σφόδρα 
4:8	καὶ συνήχθησαν πάντες ἐπὶ τὸ αὐτὸ ἐλθεῖν παρατάξασθαι ἐν Ιερουσαλημ 
4:9	καὶ προσηυξάμεθα πρὸς τὸν θεὸν ἡμῶν καὶ ἐστήσαμεν προφύλακας ἐπ᾽ αὐτοὺς ἡμέρας καὶ νυκτὸς ἀπὸ προσώπου αὐτῶν 
4:10	καὶ εἶπεν Ιουδας συνετρίβη ἡ ἰσχὺς τῶν ἐχθρῶν καὶ ὁ χοῦς πολύς καὶ ἡμεῖς οὐ δυνησόμεθα οἰκοδομεῖν ἐν τῷ τείχει 
4:11	καὶ εἶπαν οἱ θλίβοντες ἡμᾶς οὐ γνώσονται καὶ οὐκ ὄψονται ἕως ὅτου ἔλθωμεν εἰς μέσον αὐτῶν καὶ φονεύσωμεν αὐτοὺς καὶ καταπαύσωμεν τὸ ἔργον 
4:12	καὶ ἐγένετο ὡς ἤλθοσαν οἱ Ιουδαῖοι οἱ οἰκοῦντες ἐχόμενα αὐτῶν καὶ εἴποσαν ἡμῖν ἀναβαίνουσιν ἐκ πάντων τῶν τόπων ἐφ᾽ ἡμᾶς 
4:13	καὶ ἔστησα εἰς τὰ κατώτατα τοῦ τόπου κατόπισθεν τοῦ τείχους ἐν τοῖς σκεπεινοῖς καὶ ἔστησα τὸν λαὸν κατὰ δήμους μετὰ ῥομφαιῶν αὐτῶν λόγχας αὐτῶν καὶ τόξα αὐτῶν 
4:14	καὶ εἶδον καὶ ἀνέστην καὶ εἶπα πρὸς τοὺς ἐντίμους καὶ πρὸς τοὺς στρατηγοὺς καὶ πρὸς τοὺς καταλοίπους τοῦ λαοῦ μὴ φοβηθῆτε ἀπὸ προσώπου αὐτῶν μνήσθητε τοῦ θεοῦ ἡμῶν τοῦ μεγάλου καὶ φοβεροῦ καὶ παρατάξασθε περὶ τῶν ἀδελφῶν ὑμῶν υἱῶν ὑμῶν καὶ θυγατέρων ὑμῶν γυναικῶν ὑμῶν καὶ οἴκων ὑμῶν 
4:15	καὶ ἐγένετο ἡνίκα ἤκουσαν οἱ ἐχθροὶ ἡμῶν ὅτι ἐγνώσθη ἡμῖν καὶ διεσκέδασεν ὁ θεὸς τὴν βουλὴν αὐτῶν καὶ ἐπεστρέψαμεν πάντες ἡμεῖς εἰς τὸ τεῖχος ἀνὴρ εἰς τὸ ἔργον αὐτοῦ 
4:16	1καὶ ἐγένετο ἀπὸ τῆς ἡμέρας ἐκείνης ἥμισυ τῶν ἐκτετιναγμένων ἐποίουν τὸ ἔργον καὶ ἥμισυ αὐτῶν ἀντείχοντο καὶ λόγχαι καὶ θυρεοὶ καὶ τὰ τόξα καὶ οἱ θώρακες καὶ οἱ ἄρχοντες ὀπίσω παντὸς οἴκου Ιουδα 
4:17	1τῶν οἰκοδομούντων ἐν τῷ τείχει καὶ οἱ αἴροντες ἐν τοῖς ἀρτῆρσιν ἐν ὅπλοις ἐν μιᾷ χειρὶ ἐποίει αὐτὸ τὸ ἔργον καὶ μία ἐκράτει τὴν βολίδα 
4:18	1καὶ οἱ οἰκοδόμοι ἀνὴρ ῥομφαίαν αὐτοῦ ἐζωσμένος ἐπὶ τὴν ὀσφὺν αὐτοῦ καὶ ᾠκοδομοῦσαν καὶ ὁ σαλπίζων ἐν τῇ κερατίνῃ ἐχόμενα αὐτοῦ 
4:19	1καὶ εἶπα πρὸς τοὺς ἐντίμους καὶ πρὸς τοὺς ἄρχοντας καὶ πρὸς τοὺς καταλοίπους τοῦ λαοῦ τὸ ἔργον πλατὺ καὶ πολύ καὶ ἡμεῖς σκορπιζόμεθα ἐπὶ τοῦ τείχους μακρὰν ἀνὴρ ἀπὸ τοῦ ἀδελφοῦ αὐτοῦ 
4:20	1ἐν τόπῳ οὗ ἐὰν ἀκούσητε τὴν φωνὴν τῆς κερατίνης ἐκεῖ συναχθήσεσθε πρὸς ἡμᾶς καὶ ὁ θεὸς ἡμῶν πολεμήσει περὶ ἡμῶν 
4:21	1καὶ ἡμεῖς ποιοῦντες τὸ ἔργον καὶ ἥμισυ αὐτῶν κρατοῦντες τὰς λόγχας ἀπὸ ἀναβάσεως τοῦ ὄρθρου ἕως ἐξόδου τῶν ἄστρων 
4:22	1καὶ ἐν τῷ καιρῷ ἐκείνῳ εἶπα τῷ λαῷ αὐλίσθητε ἐν μέσῳ Ιερουσαλημ καὶ ἔστω ὑμῖν ἡ νὺξ προφυλακὴ καὶ ἡ ἡμέρα ἔργον 
4:23	1καὶ ἤμην ἐγὼ καὶ οἱ ἄνδρες τῆς προφυλακῆς ὀπίσω μου καὶ οὐκ ἦν ἐξ ἡμῶν ἐκδιδυσκόμενος ἀνὴρ τὰ ἱμάτια αὐτοῦ 
5:1	καὶ ἦν κραυγὴ τοῦ λαοῦ καὶ γυναικῶν αὐτῶν μεγάλη πρὸς τοὺς ἀδελφοὺς αὐτῶν τοὺς Ιουδαίους 
5:2	καὶ ἦσάν τινες λέγοντες ἐν υἱοῖς ἡμῶν καὶ ἐν θυγατράσιν ἡμῶν ἡμεῖς πολλοί καὶ λημψόμεθα σῖτον καὶ φαγόμεθα καὶ ζησόμεθα 
5:3	καὶ εἰσίν τινες λέγοντες ἀγροὶ ἡμῶν καὶ ἀμπελῶνες ἡμῶν καὶ οἰκίαι ἡμῶν ἡμεῖς διεγγυῶμεν καὶ λημψόμεθα σῖτον καὶ φαγόμεθα 
5:4	καὶ εἰσίν τινες λέγοντες ἐδανεισάμεθα ἀργύριον εἰς φόρους τοῦ βασιλέως ἀγροὶ ἡμῶν καὶ ἀμπελῶνες ἡμῶν καὶ οἰκίαι ἡμῶν 
5:5	καὶ νῦν ὡς σὰρξ ἀδελφῶν ἡμῶν σὰρξ ἡμῶν ὡς υἱοὶ αὐτῶν υἱοὶ ἡμῶν καὶ ἰδοὺ ἡμεῖς καταδυναστεύομεν τοὺς υἱοὺς ἡμῶν καὶ τὰς θυγατέρας ἡμῶν εἰς δούλους καὶ εἰσὶν ἀπὸ θυγατέρων ἡμῶν καταδυναστευόμεναι καὶ οὐκ ἔστιν δύναμις χειρῶν ἡμῶν καὶ ἀγροὶ ἡμῶν καὶ ἀμπελῶνες ἡμῶν τοῖς ἐντίμοις 
5:6	καὶ ἐλυπήθην σφόδρα καθὼς ἤκουσα τὴν κραυγὴν αὐτῶν καὶ τοὺς λόγους τούτους 
5:7	καὶ ἐβουλεύσατο καρδία μου ἐπ᾽ ἐμέ καὶ ἐμαχεσάμην πρὸς τοὺς ἐντίμους καὶ τοὺς ἄρχοντας καὶ εἶπα αὐτοῖς ἀπαιτήσει ἀνὴρ τὸν ἀδελφὸν αὐτοῦ ὑμεῖς ἀπαιτεῖτε καὶ ἔδωκα ἐπ᾽ αὐτοὺς ἐκκλησίαν μεγάλην 
5:8	καὶ εἶπα αὐτοῖς ἡμεῖς κεκτήμεθα τοὺς ἀδελφοὺς ἡμῶν τοὺς Ιουδαίους τοὺς πωλουμένους τοῖς ἔθνεσιν ἐν ἑκουσίῳ ἡμῶν καὶ ὑμεῖς πωλεῖτε τοὺς ἀδελφοὺς ὑμῶν καὶ ἡσύχασαν καὶ οὐχ εὕροσαν λόγον 
