 
10:1	And Mordecai said, "These things have come from God. 
13:2	"Having become ruler of many nations and master of the whole world, not elated with presumption of authority but always acting reasonably and with kindness, I have determined to settle the lives of my subjects in lasting tranquility and, in order to make my kingdom peaceable and open to travel throughout all its extent, to re-establish the peace which all men desire. 
13:3	"When I asked my counselors how this might be accomplished, Haman, who excels among us in sound judgment, and is distinguished for his unchanging good will and steadfast fidelity, and has attained the second place in the kingdom, 
13:4	pointed out to us that among all the nations in the world there is scattered a certain hostile people, who have laws contrary to those of every nation and continually disregard the ordinances of the kings, so that the unifying of the kingdom which we honorably intend cannot be brought about. 
13:5	We understand that this people, and it alone, stands constantly in opposition to all men, perversely following a strange manner of life and laws, and is ill-disposed to our government, doing all the harm they can so that our kingdom may not attain stability. 
13:6	"Therefore we have decreed that those indicated to you in the letters of Haman, who is in charge of affairs and is our second father, shall all, with their wives and children, be utterly destroyed by the sword of their enemies, without pity or mercy, on the fourteenth day of the twelfth month, Adar, of this present year, 
13:7	so that those who have long been and are now hostile may in one day go down in violence to Hades, and leave our government completely secure and untroubled hereafter." 
13:8	Then Mordecai prayed to the Lord, calling to remembrance all the works of the Lord. He said: 
13:9	"O Lord, Lord, King who rules over all things, for the universe is in thy power and there is no one who can oppose thee if it is thy will to save Israel. 
13:10	For thou hast made heaven and earth and every wonderful thing under heaven, 
13:11	and thou art Lord of all, and there is no one who can resist thee, who art the Lord. 
13:12	Thou knows all things; thou knows, O Lord, that it was not in insolence or pride or for any love of glory that I did this, and refused to bow down to this proud Haman. 
13:13	For I would have been willing to kiss the soles of his feet, to save Israel! 
13:14	But I did this, that I might not set the glory of man above the glory of God, and I will not bow down to anyone but to thee, who art my Lord; and I will not do these things in pride. 
13:15	And now, O Lord God and King, God of Abraham, spare thy people; for the eyes of our foes are upon us to annihilate us, and they desire to destroy the inheritance that has been thine from the beginning. 
13:16	Do not neglect thy portion, which thou didst redeem for thyself out of the land of Egypt. 
13:17	Hear my prayer, and have mercy upon thy inheritance turn our mourning into feasting, that we may live and sing praise to thy name, O Lord; do not destroy the mouth of those who praise thee." 
13:18	And all Israel cried out mightily, for their death was before their eyes. 
14:1	And Esther the queen, seized with deathly anxiety, fled to the Lord; 
14:2	she took off her splendid apparel and put on the garments of distress and mourning, and instead of costly perfumes she covered her head with ashes and dung, and she utterly humbled her body, and every part that she loved to adorn she covered with her tangled hair. 
14:3	And she prayed to the Lord God of Israel, and said: Lord, thou only art our King; help me, who am alone and have no helper but thee, 
14:4	for my danger is in my hand. 
14:5	Ever since I was born I have heard in the tribe of my family that thou, O Lord, didst take Israel out of all the nations, and our fathers from among all their ancestors, for an everlasting inheritance, and that thou didst do for them all that thou didst promise. 
14:6	And now we have sinned before thee, and thou hast given us into the hands of our enemies, 
14:7	because we glorified their gods. Thou art righteous, O Lord! 
14:8	And now they are not satisfied that we are in bitter slavery, but they have covenanted with their idols 
14:9	to abolish what thy mouth has ordained and to destroy thy inheritance, to stop the mouths of those who praise thee and to quench thy altar and the glory of thy house, 
14:10	to open the mouths of the nations for the praise of vain idols, and to magnify forever a mortal king. 
14:11	O Lord, do not surrender thy scepter to what has no being; and do not let them mock at our downfall; but turn their plan against themselves, and make an example of the man who began this against us. 
14:12	Remember, O Lord; make thyself known in this time of our affliction, and give me courage, O King of the gods and Master of all dominion! 
14:13	Put eloquent speech in my mouth before the lion, and turn his heart to hate the man who is fighting against us, so that there may be an end of him and those who agree with him. 
14:14	But save us by thy hand, and help me, who am alone and have no helper but thee, O Lord. 
14:15	Thou hast knowledge of all things; and thou knows that I hate the splendor of the wicked and abhor the bed of the uncircumcised and of any alien. 
14:16	Thou knowest my necessity -- that I abhor the sign of my proud position, which is upon my head on the days when I appear in public. I abhor it like a monstrous rag, and I do not wear it on the days when I am at leisure. 
14:17	And thy servant has not eaten at Haman's table, and I have not honored the king's feast or drunk the wine of the libations. 
14:18	Thy servant has had no joy since the day that I was brought here until now, except in thee, O Lord God of Abraham. 
14:19	O God, whose might is over all, hear the voice of the despairing, and save us from the hands of evildoers. And save me from my fear!" 
15:1	On the third day, when she ended her prayer, she took off the garments in which she had worshiped, and arrayed herself in splendid attire. 
15:2	Then, majestically adorned, after invoking the aid of the all-seeing God and Savior, she took her two maids with her, 
15:3	leaning daintily on one, 
15:4	while the other followed carrying her train. 
15:5	She was radiant with perfect beauty, and she looked happy, as if beloved, but her heart was frozen with fear. 
15:6	When she had gone through all the doors, she stood before the king. He was seated on his royal throne, clothed in the full array of his majesty, all covered with gold and precious stones. And he was most terrifying. 
15:7	Lifting his face, flushed with splendor, he looked at her in fierce anger. And the queen faltered, and turned pale and faint, and collapsed upon the head of the maid who went before her. 
15:8	Then God changed the spirit of the king to gentleness, and in alarm he sprang from his throne and took her in his arms until she came to herself. And he comforted her with soothing words, and said to her, 
15:9	"What is it, Esther? I am your brother. Take courage; 
15:10	you shall not die, for our law applies only to the people. Come near." 
15:11	Then he raised the golden scepter and touched it to her neck; 
15:12	and he embraced her, and said, "Speak to me." 
15:13	And she said to him, "I saw you, my lord, like an angel of God and my heart was shaken with fear at your glory. 
15:14	For you are wonderful, my lord, and your countenance is full of grace." 
15:15	But as she was speaking, she fell fainting. 
15:16	And the king was agitated, and all his servants sought to comfort her. 
16:1	The following is a copy of this letter: "The Great King, Artaxerxes, to the rulers of the provinces from India to Ethiopia, one hundred and twenty-seven satrapies, and to those who are loyal to our government, greeting. 
16:2	"The more often they are honored by the too great kindness of their benefactors, the more proud do many men become. 
16:3	They not only seek to injure our subjects, but in their inability to stand prosperity they even undertake to scheme against their own benefactors. 
16:4	They not only take away thankfulness from among men, but, carried away by the boasts of those who know nothing of goodness, they suppose that they will escape the evil-hating justice of God, who always sees everything. 
16:5	And often many of those who are set in places of authority have been made in part responsible for the shedding of innocent blood, and have been involved in irremediable calamities, by the persuasion of friends who have been entrusted with the administration of public affairs, 
16:6	when these men by the false trickery of their evil natures beguile the sincere good will of their sovereigns. 
16:7	"What has been wickedly accomplished through the pestilent behavior of those who exercise authority unworthily, can be seen not so much from the more ancient records which we hand on as from investigation of matters close at hand. 
16:8	For the future we will take care to render our kingdom quiet and peaceable for all men, 
16:9	by changing our methods and always judging what comes before our eyes with more equitable consideration. 
16:10	For Haman, the son of Hammedatha, a Macedonian (really an alien to the Persian blood, and quite devoid of our kindliness), having become our guest, 
16:11	so far enjoyed the good will that we have for every nation that he was called our father and was continually bowed down to by all as the person second to the royal throne. 
16:12	But, unable to restrain his arrogance, he undertook to deprive us of our kingdom and our life, 
16:13	and with intricate craft and deceit asked for the destruction of Mordecai, our savior and perpetual benefactor, and of Esther, the blameless partner of our kingdom, together with their whole nation. 
16:14	He thought that in this way he would find us undefended and would transfer the kingdom of the Persians to the Macedonians. 
16:15	"But we find that the Jews, who were consigned to annihilation by this thrice accursed man, are not evildoers but are governed by most righteous laws 
16:16	and are sons of the Most High, the most mighty living God, who has directed the kingdom both for us and for our fathers in the most excellent order. 
16:17	"You will therefore do well not to put in execution the letters sent by Haman the son of Hammedatha, 
16:18	because the man himself who did these things has been hanged at the gate of Susa, with all his household. For God, who rules over all things, has speedily inflicted on him the punishment he deserved. 
16:19	"Therefore post a copy of this letter publicly in every place, and permit the Jews to live under their own laws. 
16:20	And give them reinforcements, so that on the thirteenth day of the twelfth month, Adar, on that very day they may defend themselves against those who attack them at the time of their affliction. 
16:21	For God, who rules over all things, has made this day to be a joy to his chosen people instead of a day of destruction for them. 
16:22	"Therefore you shall observe this with all good cheer as a notable day among your commemorative festivals, 
16:23	so that both now and hereafter it may mean salvation for us and the loyal Persians, but that for those who plot against us it may be a reminder of destruction. 
16:24	"Every city and country, without exception, which does not act accordingly, shall be destroyed in wrath with spear and fire. It shall be made not only impassable for men, but also most hateful for all time to beasts and birds." 
