‎Genesis 
1:1	ἐν ἀρχῇ ἐποίησεν ὁ θεὸς τὸν οὐρανὸν καὶ τὴν γῆν 
1:24	καὶ εἶπεν ὁ θεός ἐξαγαγέτω ἡ γῆ ψυχὴν ζῶσαν κατὰ γένος τετράποδα καὶ ἑρπετὰ καὶ θηρία τῆς γῆς κατὰ γένος καὶ ἐγένετο οὕτως 
1:25	καὶ ἐποίησεν ὁ θεὸς τὰ θηρία τῆς γῆς κατὰ γένος καὶ τὰ κτήνη κατὰ γένος καὶ πάντα τὰ ἑρπετὰ τῆς γῆς κατὰ γένος αὐτῶν καὶ εἶδεν ὁ θεὸς ὅτι καλά 
1:26	καὶ εἶπεν ὁ θεός ποιήσωμεν ἄνθρωπον κατ᾽ εἰκόνα ἡμετέραν καὶ καθ᾽ ὁμοίωσιν καὶ ἀρχέτωσαν τῶν ἰχθύων τῆς θαλάσσης καὶ τῶν πετεινῶν τοῦ οὐρανοῦ καὶ τῶν κτηνῶν καὶ πάσης τῆς γῆς καὶ πάντων τῶν ἑρπετῶν τῶν ἑρπόντων ἐπὶ τῆς γῆς 
1:27	καὶ ἐποίησεν ὁ θεὸς τὸν ἄνθρωπον κατ᾽ εἰκόνα θεοῦ ἐποίησεν αὐτόν ἄρσεν καὶ θῆλυ ἐποίησεν αὐτούς 
1:28	καὶ ηὐλόγησεν αὐτοὺς ὁ θεὸς λέγων αὐξάνεσθε καὶ πληθύνεσθε καὶ πληρώσατε τὴν γῆν καὶ κατακυριεύσατε αὐτῆς καὶ ἄρχετε τῶν ἰχθύων τῆς θαλάσσης καὶ τῶν πετεινῶν τοῦ οὐρανοῦ καὶ πάντων τῶν κτηνῶν καὶ πάσης τῆς γῆς καὶ πάντων τῶν ἑρπετῶν τῶν ἑρπόντων ἐπὶ τῆς γῆς 
1:29	καὶ εἶπεν ὁ θεός ἰδοὺ δέδωκα ὑμῖν πᾶν χόρτον σπόριμον σπεῖρον σπέρμα ὅ ἐστιν ἐπάνω πάσης τῆς γῆς καὶ πᾶν ξύλον ὃ ἔχει ἐν ἑαυτῷ καρπὸν σπέρματος σπορίμου ὑμῖν ἔσται εἰς βρῶσιν 
1:30	καὶ πᾶσι τοῖς θηρίοις τῆς γῆς καὶ πᾶσι τοῖς πετεινοῖς τοῦ οὐρανοῦ καὶ παντὶ ἑρπετῷ τῷ ἕρποντι ἐπὶ τῆς γῆς ὃ ἔχει ἐν ἑαυτῷ ψυχὴν ζωῆς πάντα χόρτον χλωρὸν εἰς βρῶσιν καὶ ἐγένετο οὕτως 
1:31	καὶ εἶδεν ὁ θεὸς τὰ πάντα ὅσα ἐποίησεν καὶ ἰδοὺ καλὰ λίαν καὶ ἐγένετο ἑσπέρα καὶ ἐγένετο πρωί ἡμέρα ἕκτη 
2:1	καὶ συνετελέσθησαν ὁ οὐρανὸς καὶ ἡ γῆ καὶ πᾶς ὁ κόσμος αὐτῶν 
2:2	καὶ συνετέλεσεν ὁ θεὸς ἐν τῇ ἡμέρᾳ τῇ ἕκτῃ τὰ ἔργα αὐτοῦ ἃ ἐποίησεν καὶ κατέπαυσεν τῇ ἡμέρᾳ τῇ ἑβδόμῃ ἀπὸ πάντων τῶν ἔργων αὐτοῦ ὧν ἐποίησεν 
2:3	καὶ ηὐλόγησεν ὁ θεὸς τὴν ἡμέραν τὴν ἑβδόμην καὶ ἡγίασεν αὐτήν ὅτι ἐν αὐτῇ κατέπαυσεν ἀπὸ πάντων τῶν ἔργων αὐτοῦ ὧν ἤρξατο ὁ θεὸς ποιῆσαι 
2:4	αὕτη ἡ βίβλος γενέσεως οὐρανοῦ καὶ γῆς ὅτε ἐγένετο ᾗ ἡμέρᾳ ἐποίησεν ὁ θεὸς τὸν οὐρανὸν καὶ τὴν γῆν 
2:5	καὶ πᾶν χλωρὸν ἀγροῦ πρὸ τοῦ γενέσθαι ἐπὶ τῆς γῆς καὶ πάντα χόρτον ἀγροῦ πρὸ τοῦ ἀνατεῖλαι οὐ γὰρ ἔβρεξεν ὁ θεὸς ἐπὶ τὴν γῆν καὶ ἄνθρωπος οὐκ ἦν ἐργάζεσθαι τὴν γῆν 
2:6	πηγὴ δὲ ἀνέβαινεν ἐκ τῆς γῆς καὶ ἐπότιζεν πᾶν τὸ πρόσωπον τῆς γῆς 
2:7	καὶ ἔπλασεν ὁ θεὸς τὸν ἄνθρωπον χοῦν ἀπὸ τῆς γῆς καὶ ἐνεφύσησεν εἰς τὸ πρόσωπον αὐτοῦ πνοὴν ζωῆς καὶ ἐγένετο ὁ ἄνθρωπος εἰς ψυχὴν ζῶσαν 
2:8	καὶ ἐφύτευσεν κύριος ὁ θεὸς παράδεισον ἐν Εδεμ κατὰ ἀνατολὰς καὶ ἔθετο ἐκεῖ τὸν ἄνθρωπον ὃν ἔπλασεν 
2:9	καὶ ἐξανέτειλεν ὁ θεὸς ἔτι ἐκ τῆς γῆς πᾶν ξύλον ὡραῖον εἰς ὅρασιν καὶ καλὸν εἰς βρῶσιν καὶ τὸ ξύλον τῆς ζωῆς ἐν μέσῳ τῷ παραδείσῳ καὶ τὸ ξύλον τοῦ εἰδέναι γνωστὸν καλοῦ καὶ πονηροῦ 
2:10	ποταμὸς δὲ ἐκπορεύεται ἐξ Εδεμ ποτίζειν τὸν παράδεισον ἐκεῖθεν ἀφορίζεται εἰς τέσσαρας ἀρχάς 
2:11	ὄνομα τῷ ἑνὶ Φισων οὗτος ὁ κυκλῶν πᾶσαν τὴν γῆν Ευιλατ ἐκεῖ οὗ ἐστιν τὸ χρυσίον 
2:12	τὸ δὲ χρυσίον τῆς γῆς ἐκείνης καλόν καὶ ἐκεῖ ἐστιν ὁ ἄνθραξ καὶ ὁ λίθος ὁ πράσινος 
2:13	καὶ ὄνομα τῷ ποταμῷ τῷ δευτέρῳ Γηων οὗτος ὁ κυκλῶν πᾶσαν τὴν γῆν Αἰθιοπίας 
2:14	καὶ ὁ ποταμὸς ὁ τρίτος Τίγρις οὗτος ὁ πορευόμενος κατέναντι Ἀσσυρίων ὁ δὲ ποταμὸς ὁ τέταρτος οὗτος Εὐφράτης 
2:15	καὶ ἔλαβεν κύριος ὁ θεὸς τὸν ἄνθρωπον ὃν ἔπλασεν καὶ ἔθετο αὐτὸν ἐν τῷ παραδείσῳ ἐργάζεσθαι αὐτὸν καὶ φυλάσσειν 
2:16	καὶ ἐνετείλατο κύριος ὁ θεὸς τῷ Αδαμ λέγων ἀπὸ παντὸς ξύλου τοῦ ἐν τῷ παραδείσῳ βρώσει φάγῃ 
2:17	ἀπὸ δὲ τοῦ ξύλου τοῦ γινώσκειν καλὸν καὶ πονηρόν οὐ φάγεσθε ἀπ᾽ αὐτοῦ ᾗ δ᾽ ἂν ἡμέρᾳ φάγητε ἀπ᾽ αὐτοῦ θανάτῳ ἀποθανεῖσθε 
2:18	καὶ εἶπεν κύριος ὁ θεός οὐ καλὸν εἶναι τὸν ἄνθρωπον μόνον ποιήσωμεν αὐτῷ βοηθὸν κατ᾽ αὐτόν 
2:19	καὶ ἔπλασεν ὁ θεὸς ἔτι ἐκ τῆς γῆς πάντα τὰ θηρία τοῦ ἀγροῦ καὶ πάντα τὰ πετεινὰ τοῦ οὐρανοῦ καὶ ἤγαγεν αὐτὰ πρὸς τὸν Αδαμ ἰδεῖν τί καλέσει αὐτά καὶ πᾶν ὃ ἐὰν ἐκάλεσεν αὐτὸ Αδαμ ψυχὴν ζῶσαν τοῦτο ὄνομα αὐτοῦ 
2:20	καὶ ἐκάλεσεν Αδαμ ὀνόματα πᾶσιν τοῖς κτήνεσιν καὶ πᾶσι τοῖς πετεινοῖς τοῦ οὐρανοῦ καὶ πᾶσι τοῖς θηρίοις τοῦ ἀγροῦ τῷ δὲ Αδαμ οὐχ εὑρέθη βοηθὸς ὅμοιος αὐτῷ 
2:21	καὶ ἐπέβαλεν ὁ θεὸς ἔκστασιν ἐπὶ τὸν Αδαμ καὶ ὕπνωσεν καὶ ἔλαβεν μίαν τῶν πλευρῶν αὐτοῦ καὶ ἀνεπλήρωσεν σάρκα ἀντ᾽ αὐτῆς 
2:22	καὶ ᾠκοδόμησεν κύριος ὁ θεὸς τὴν πλευράν ἣν ἔλαβεν ἀπὸ τοῦ Αδαμ εἰς γυναῖκα καὶ ἤγαγεν αὐτὴν πρὸς τὸν Αδαμ 
2:23	καὶ εἶπεν Αδαμ τοῦτο νῦν ὀστοῦν ἐκ τῶν ὀστέων μου καὶ σὰρξ ἐκ τῆς σαρκός μου αὕτη κληθήσεται γυνή ὅτι ἐκ τοῦ ἀνδρὸς αὐτῆς ἐλήμφθη αὕτη 
2:24	ἕνεκεν τούτου καταλείψει ἄνθρωπος τὸν πατέρα αὐτοῦ καὶ τὴν μητέρα αὐτοῦ καὶ προσκολληθήσεται πρὸς τὴν γυναῖκα αὐτοῦ καὶ ἔσονται οἱ δύο εἰς σάρκα μίαν 
2:25	καὶ ἦσαν οἱ δύο γυμνοί ὅ τε Αδαμ καὶ ἡ γυνὴ αὐτοῦ καὶ οὐκ ᾐσχύνοντο 
3:1	ὁ δὲ ὄφις ἦν φρονιμώτατος πάντων τῶν θηρίων τῶν ἐπὶ τῆς γῆς ὧν ἐποίησεν κύριος ὁ θεός καὶ εἶπεν ὁ ὄφις τῇ γυναικί τί ὅτι εἶπεν ὁ θεός οὐ μὴ φάγητε ἀπὸ παντὸς ξύλου τοῦ ἐν τῷ παραδείσῳ 
3:2	καὶ εἶπεν ἡ γυνὴ τῷ ὄφει ἀπὸ καρποῦ ξύλου τοῦ παραδείσου φαγόμεθα 
3:3	ἀπὸ δὲ καρποῦ τοῦ ξύλου ὅ ἐστιν ἐν μέσῳ τοῦ παραδείσου εἶπεν ὁ θεός οὐ φάγεσθε ἀπ᾽ αὐτοῦ οὐδὲ μὴ ἅψησθε αὐτοῦ ἵνα μὴ ἀποθάνητε 
3:4	καὶ εἶπεν ὁ ὄφις τῇ γυναικί οὐ θανάτῳ ἀποθανεῖσθε 
3:5	ᾔδει γὰρ ὁ θεὸς ὅτι ἐν ᾗ ἂν ἡμέρᾳ φάγητε ἀπ᾽ αὐτοῦ διανοιχθήσονται ὑμῶν οἱ ὀφθαλμοί καὶ ἔσεσθε ὡς θεοὶ γινώσκοντες καλὸν καὶ πονηρόν 
3:6	καὶ εἶδεν ἡ γυνὴ ὅτι καλὸν τὸ ξύλον εἰς βρῶσιν καὶ ὅτι ἀρεστὸν τοῖς ὀφθαλμοῖς ἰδεῖν καὶ ὡραῖόν ἐστιν τοῦ κατανοῆσαι καὶ λαβοῦσα τοῦ καρποῦ αὐτοῦ ἔφαγεν καὶ ἔδωκεν καὶ τῷ ἀνδρὶ αὐτῆς μετ᾽ αὐτῆς καὶ ἔφαγον 
3:7	καὶ διηνοίχθησαν οἱ ὀφθαλμοὶ τῶν δύο καὶ ἔγνωσαν ὅτι γυμνοὶ ἦσαν καὶ ἔρραψαν φύλλα συκῆς καὶ ἐποίησαν ἑαυτοῖς περιζώματα 
3:8	καὶ ἤκουσαν τὴν φωνὴν κυρίου τοῦ θεοῦ περιπατοῦντος ἐν τῷ παραδείσῳ τὸ δειλινόν καὶ ἐκρύβησαν ὅ τε Αδαμ καὶ ἡ γυνὴ αὐτοῦ ἀπὸ προσώπου κυρίου τοῦ θεοῦ ἐν μέσῳ τοῦ ξύλου τοῦ παραδείσου 
3:9	καὶ ἐκάλεσεν κύριος ὁ θεὸς τὸν Αδαμ καὶ εἶπεν αὐτῷ Αδαμ ποῦ εἶ 
3:10	καὶ εἶπεν αὐτῷ τὴν φωνήν σου ἤκουσα περιπατοῦντος ἐν τῷ παραδείσῳ καὶ ἐφοβήθην ὅτι γυμνός εἰμι καὶ ἐκρύβην 
3:11	καὶ εἶπεν αὐτῷ τίς ἀνήγγειλέν σοι ὅτι γυμνὸς εἶ μὴ ἀπὸ τοῦ ξύλου οὗ ἐνετειλάμην σοι τούτου μόνου μὴ φαγεῖν ἀπ᾽ αὐτοῦ ἔφαγες 
3:12	καὶ εἶπεν ὁ Αδαμ ἡ γυνή ἣν ἔδωκας μετ᾽ ἐμοῦ αὕτη μοι ἔδωκεν ἀπὸ τοῦ ξύλου καὶ ἔφαγον 
3:13	καὶ εἶπεν κύριος ὁ θεὸς τῇ γυναικί τί τοῦτο ἐποίησας καὶ εἶπεν ἡ γυνή ὁ ὄφις ἠπάτησέν με καὶ ἔφαγον 
3:14	καὶ εἶπεν κύριος ὁ θεὸς τῷ ὄφει ὅτι ἐποίησας τοῦτο ἐπικατάρατος σὺ ἀπὸ πάντων τῶν κτηνῶν καὶ ἀπὸ πάντων τῶν θηρίων τῆς γῆς ἐπὶ τῷ στήθει σου καὶ τῇ κοιλίᾳ πορεύσῃ καὶ γῆν φάγῃ πάσας τὰς ἡμέρας τῆς ζωῆς σου 
3:15	καὶ ἔχθραν θήσω ἀνὰ μέσον σου καὶ ἀνὰ μέσον τῆς γυναικὸς καὶ ἀνὰ μέσον τοῦ σπέρματός σου καὶ ἀνὰ μέσον τοῦ σπέρματος αὐτῆς αὐτός σου τηρήσει κεφαλήν καὶ σὺ τηρήσεις αὐτοῦ πτέρναν 
3:16	καὶ τῇ γυναικὶ εἶπεν πληθύνων πληθυνῶ τὰς λύπας σου καὶ τὸν στεναγμόν σου ἐν λύπαις τέξῃ τέκνα καὶ πρὸς τὸν ἄνδρα σου ἡ ἀποστροφή σου καὶ αὐτός σου κυριεύσει 
3:17	τῷ δὲ Αδαμ εἶπεν ὅτι ἤκουσας τῆς φωνῆς τῆς γυναικός σου καὶ ἔφαγες ἀπὸ τοῦ ξύλου οὗ ἐνετειλάμην σοι τούτου μόνου μὴ φαγεῖν ἀπ᾽ αὐτοῦ ἐπικατάρατος ἡ γῆ ἐν τοῖς ἔργοις σου ἐν λύπαις φάγῃ αὐτὴν πάσας τὰς ἡμέρας τῆς ζωῆς σου 
3:18	ἀκάνθας καὶ τριβόλους ἀνατελεῖ σοι καὶ φάγῃ τὸν χόρτον τοῦ ἀγροῦ 
3:19	ἐν ἱδρῶτι τοῦ προσώπου σου φάγῃ τὸν ἄρτον σου ἕως τοῦ ἀποστρέψαι σε εἰς τὴν γῆν ἐξ ἧς ἐλήμφθης ὅτι γῆ εἶ καὶ εἰς γῆν ἀπελεύσῃ 
3:20	καὶ ἐκάλεσεν Αδαμ τὸ ὄνομα τῆς γυναικὸς αὐτοῦ Ζωή ὅτι αὕτη μήτηρ πάντων τῶν ζώντων 
3:21	καὶ ἐποίησεν κύριος ὁ θεὸς τῷ Αδαμ καὶ τῇ γυναικὶ αὐτοῦ χιτῶνας δερματίνους καὶ ἐνέδυσεν αὐτούς 
3:22	καὶ εἶπεν ὁ θεός ἰδοὺ Αδαμ γέγονεν ὡς εἷς ἐξ ἡμῶν τοῦ γινώσκειν καλὸν καὶ πονηρόν καὶ νῦν μήποτε ἐκτείνῃ τὴν χεῖρα καὶ λάβῃ τοῦ ξύλου τῆς ζωῆς καὶ φάγῃ καὶ ζήσεται εἰς τὸν αἰῶνα 
3:23	καὶ ἐξαπέστειλεν αὐτὸν κύριος ὁ θεὸς ἐκ τοῦ παραδείσου τῆς τρυφῆς ἐργάζεσθαι τὴν γῆν ἐξ ἧς ἐλήμφθη 
3:24	καὶ ἐξέβαλεν τὸν Αδαμ καὶ κατῴκισεν αὐτὸν ἀπέναντι τοῦ παραδείσου τῆς τρυφῆς καὶ ἔταξεν τὰ χερουβιμ καὶ τὴν φλογίνην ῥομφαίαν τὴν στρεφομένην φυλάσσειν τὴν ὁδὸν τοῦ ξύλου τῆς ζωῆς 
4:1	Αδαμ δὲ ἔγνω Ευαν τὴν γυναῖκα αὐτοῦ καὶ συλλαβοῦσα ἔτεκεν τὸν Καιν καὶ εἶπεν ἐκτησάμην ἄνθρωπον διὰ τοῦ θεοῦ 
4:2	καὶ προσέθηκεν τεκεῖν τὸν ἀδελφὸν αὐτοῦ τὸν Αβελ καὶ ἐγένετο Αβελ ποιμὴν προβάτων Καιν δὲ ἦν ἐργαζόμενος τὴν γῆν 
4:3	καὶ ἐγένετο μεθ᾽ ἡμέρας ἤνεγκεν Καιν ἀπὸ τῶν καρπῶν τῆς γῆς θυσίαν τῷ κυρίῳ 
4:4	καὶ Αβελ ἤνεγκεν καὶ αὐτὸς ἀπὸ τῶν πρωτοτόκων τῶν προβάτων αὐτοῦ καὶ ἀπὸ τῶν στεάτων αὐτῶν καὶ ἐπεῖδεν ὁ θεὸς ἐπὶ Αβελ καὶ ἐπὶ τοῖς δώροις αὐτοῦ 
4:5	ἐπὶ δὲ Καιν καὶ ἐπὶ ταῖς θυσίαις αὐτοῦ οὐ προσέσχεν καὶ ἐλύπησεν τὸν Καιν λίαν καὶ συνέπεσεν τῷ προσώπῳ 
4:6	καὶ εἶπεν κύριος ὁ θεὸς τῷ Καιν ἵνα τί περίλυπος ἐγένου καὶ ἵνα τί συνέπεσεν τὸ πρόσωπόν σου 
4:7	οὐκ ἐὰν ὀρθῶς προσενέγκῃς ὀρθῶς δὲ μὴ διέλῃς ἥμαρτες ἡσύχασον πρὸς σὲ ἡ ἀποστροφὴ αὐτοῦ καὶ σὺ ἄρξεις αὐτοῦ 
4:8	καὶ εἶπεν Καιν πρὸς Αβελ τὸν ἀδελφὸν αὐτοῦ διέλθωμεν εἰς τὸ πεδίον καὶ ἐγένετο ἐν τῷ εἶναι αὐτοὺς ἐν τῷ πεδίῳ καὶ ἀνέστη Καιν ἐπὶ Αβελ τὸν ἀδελφὸν αὐτοῦ καὶ ἀπέκτεινεν αὐτόν 
4:9	καὶ εἶπεν ὁ θεὸς πρὸς Καιν ποῦ ἐστιν Αβελ ὁ ἀδελφός σου ὁ δὲ εἶπεν οὐ γινώσκω μὴ φύλαξ τοῦ ἀδελφοῦ μού εἰμι ἐγώ 
4:10	καὶ εἶπεν ὁ θεός τί ἐποίησας φωνὴ αἵματος τοῦ ἀδελφοῦ σου βοᾷ πρός με ἐκ τῆς γῆς 
4:11	καὶ νῦν ἐπικατάρατος σὺ ἀπὸ τῆς γῆς ἣ ἔχανεν τὸ στόμα αὐτῆς δέξασθαι τὸ αἷμα τοῦ ἀδελφοῦ σου ἐκ τῆς χειρός σου 
4:12	ὅτι ἐργᾷ τὴν γῆν καὶ οὐ προσθήσει τὴν ἰσχὺν αὐτῆς δοῦναί σοι στένων καὶ τρέμων ἔσῃ ἐπὶ τῆς γῆς 
4:13	καὶ εἶπεν Καιν πρὸς τὸν κύριον μείζων ἡ αἰτία μου τοῦ ἀφεθῆναί με 
4:14	εἰ ἐκβάλλεις με σήμερον ἀπὸ προσώπου τῆς γῆς καὶ ἀπὸ τοῦ προσώπου σου κρυβήσομαι καὶ ἔσομαι στένων καὶ τρέμων ἐπὶ τῆς γῆς καὶ ἔσται πᾶς ὁ εὑρίσκων με ἀποκτενεῖ με 
4:15	καὶ εἶπεν αὐτῷ κύριος ὁ θεός οὐχ οὕτως πᾶς ὁ ἀποκτείνας Καιν ἑπτὰ ἐκδικούμενα παραλύσει καὶ ἔθετο κύριος ὁ θεὸς σημεῖον τῷ Καιν τοῦ μὴ ἀνελεῖν αὐτὸν πάντα τὸν εὑρίσκοντα αὐτόν 
4:16	ἐξῆλθεν δὲ Καιν ἀπὸ προσώπου τοῦ θεοῦ καὶ ᾤκησεν ἐν γῇ Ναιδ κατέναντι Εδεμ 
4:17	καὶ ἔγνω Καιν τὴν γυναῖκα αὐτοῦ καὶ συλλαβοῦσα ἔτεκεν τὸν Ενωχ καὶ ἦν οἰκοδομῶν πόλιν καὶ ἐπωνόμασεν τὴν πόλιν ἐπὶ τῷ ὀνόματι τοῦ υἱοῦ αὐτοῦ Ενωχ 
4:18	ἐγενήθη δὲ τῷ Ενωχ Γαιδαδ καὶ Γαιδαδ ἐγέννησεν τὸν Μαιηλ καὶ Μαιηλ ἐγέννησεν τὸν Μαθουσαλα καὶ Μαθουσαλα ἐγέννησεν τὸν Λαμεχ 
4:19	καὶ ἔλαβεν ἑαυτῷ Λαμεχ δύο γυναῖκας ὄνομα τῇ μιᾷ Αδα καὶ ὄνομα τῇ δευτέρᾳ Σελλα 
4:20	καὶ ἔτεκεν Αδα τὸν Ιωβελ οὗτος ἦν ὁ πατὴρ οἰκούντων ἐν σκηναῖς κτηνοτρόφων 
4:21	καὶ ὄνομα τῷ ἀδελφῷ αὐτοῦ Ιουβαλ οὗτος ἦν ὁ καταδείξας ψαλτήριον καὶ κιθάραν 
4:22	Σελλα δὲ ἔτεκεν καὶ αὐτὴ τὸν Θοβελ καὶ ἦν σφυροκόπος χαλκεὺς χαλκοῦ καὶ σιδήρου ἀδελφὴ δὲ Θοβελ Νοεμα 
4:23	εἶπεν δὲ Λαμεχ ταῖς ἑαυτοῦ γυναιξίν Αδα καὶ Σελλα ἀκούσατέ μου τῆς φωνῆς γυναῖκες Λαμεχ ἐνωτίσασθέ μου τοὺς λόγους ὅτι ἄνδρα ἀπέκτεινα εἰς τραῦμα ἐμοὶ καὶ νεανίσκον εἰς μώλωπα ἐμοί 
4:24	ὅτι ἑπτάκις ἐκδεδίκηται ἐκ Καιν ἐκ δὲ Λαμεχ ἑβδομηκοντάκις ἑπτά 
4:25	ἔγνω δὲ Αδαμ Ευαν τὴν γυναῖκα αὐτοῦ καὶ συλλαβοῦσα ἔτεκεν υἱὸν καὶ ἐπωνόμασεν τὸ ὄνομα αὐτοῦ Σηθ λέγουσα ἐξανέστησεν γάρ μοι ὁ θεὸς σπέρμα ἕτερον ἀντὶ Αβελ ὃν ἀπέκτεινεν Καιν 
4:26	καὶ τῷ Σηθ ἐγένετο υἱός ἐπωνόμασεν δὲ τὸ ὄνομα αὐτοῦ Ενως οὗτος ἤλπισεν ἐπικαλεῖσθαι τὸ ὄνομα κυρίου τοῦ θεοῦ 
5:1	αὕτη ἡ βίβλος γενέσεως ἀνθρώπων ᾗ ἡμέρᾳ ἐποίησεν ὁ θεὸς τὸν Αδαμ κατ᾽ εἰκόνα θεοῦ ἐποίησεν αὐτόν 
